defect,modality,mode,probe_id,partner_id,pick_order0,pick_order1
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_006,g7_card_height_006__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_002,g7_card_height_002__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_007,g7_card_height_007__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_004,g7_card_height_004__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_005,g7_card_height_005__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_000,g7_card_height_000__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_010,g7_card_height_010__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_001,g7_card_height_001__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_003,g7_card_height_003__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_009,g7_card_height_009__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_011,g7_card_height_011__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_014,g7_card_height_014__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_008,g7_card_height_008__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_017,g7_card_height_017__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_019,g7_card_height_019__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_018,g7_card_height_018__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_016,g7_card_height_016__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_022,g7_card_height_022__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_015,g7_card_height_015__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_024,g7_card_height_024__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_025,g7_card_height_025__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_021,g7_card_height_021__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_013,g7_card_height_013__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_027,g7_card_height_027__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_020,g7_card_height_020__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_012,g7_card_height_012__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_028,g7_card_height_028__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_023,g7_card_height_023__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_026,g7_card_height_026__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_unbreakable_text_002,g7_unbreakable_text_002__CLEAN,tie,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_unbreakable_text_001,g7_unbreakable_text_001__CLEAN,tie,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_unbreakable_text_009,g7_unbreakable_text_009__CLEAN,tie,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_unbreakable_text_006,g7_unbreakable_text_006__CLEAN,tie,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_unbreakable_text_004,g7_unbreakable_text_004__CLEAN,tie,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_029,g7_card_height_029__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_unbreakable_text_005,g7_unbreakable_text_005__CLEAN,tie,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_unbreakable_text_007,g7_unbreakable_text_007__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_unbreakable_text_010,g7_unbreakable_text_010__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_unbreakable_text_012,g7_unbreakable_text_012__CLEAN,tie,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_unbreakable_text_016,g7_unbreakable_text_016__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_unbreakable_text_000,g7_unbreakable_text_000__CLEAN,tie,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_unbreakable_text_014,g7_unbreakable_text_014__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_unbreakable_text_017,g7_unbreakable_text_017__CLEAN,tie,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_unbreakable_text_013,g7_unbreakable_text_013__CLEAN,tie,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_unbreakable_text_019,g7_unbreakable_text_019__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_unbreakable_text_022,g7_unbreakable_text_022__CLEAN,tie,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_unbreakable_text_011,g7_unbreakable_text_011__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_unbreakable_text_003,g7_unbreakable_text_003__CLEAN,b,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_unbreakable_text_015,g7_unbreakable_text_015__CLEAN,tie,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_unbreakable_text_021,g7_unbreakable_text_021__CLEAN,tie,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_unbreakable_text_028,g7_unbreakable_text_028__CLEAN,tie,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_image_objectfit_000,g7_image_objectfit_000__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_unbreakable_text_020,g7_unbreakable_text_020__CLEAN,b,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_unbreakable_text_024,g7_unbreakable_text_024__CLEAN,tie,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_unbreakable_text_023,g7_unbreakable_text_023__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_image_objectfit_002,g7_image_objectfit_002__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_image_objectfit_003,g7_image_objectfit_003__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_unbreakable_text_026,g7_unbreakable_text_026__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_image_objectfit_005,g7_image_objectfit_005__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_unbreakable_text_027,g7_unbreakable_text_027__CLEAN,tie,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_image_objectfit_007,g7_image_objectfit_007__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_image_objectfit_004,g7_image_objectfit_004__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_image_objectfit_006,g7_image_objectfit_006__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_image_objectfit_008,g7_image_objectfit_008__CLEAN,a,b
