sample_id,defect,modality,is_clean,failure,has_defect,named_target,predicted_types,locator,confidence,other,raw,level
imgslide_11_S6_IMAGE_TEXT_CONTRADICTION_1_0001__freeform,S6_IMAGE_TEXT_CONTRADICTION,A,False,False,True,True,"[""S6_IMAGE_TEXT_CONTRADICTION""]",,,[],"{
  ""has_defect"": true,
  ""findings"": [
    {
      ""type"": ""S6_IMAGE_TEXT_CONTRADICTION"",
      ""severity"": ""severe"",
      ""locator"": {
        ""level"": ""page"",
        ""page_id"": ""imgslide_11"",
        ""element_id"": ""null"",
        ""related_page_ids"": []
      },
      ""evidence"": ""The text box states 'Energy use per unit rose steadily', while the figure caption and the downward-pointing red ar",page
imgslide_10_S6_IMAGE_TEXT_CONTRADICTION_1_0000__freeform,S6_IMAGE_TEXT_CONTRADICTION,A,False,False,True,True,"[""S6_IMAGE_TEXT_CONTRADICTION""]",,,[],"{
  ""has_defect"": true,
  ""findings"": [
    {
      ""type"": ""S6_IMAGE_TEXT_CONTRADICTION"",
      ""severity"": ""severe"",
      ""locator"": {
        ""level"": ""page"",
        ""page_id"": ""imgslide_10"",
        ""element_id"": ""null"",
        ""related_page_ids"": []
      },
      ""evidence"": ""The text box on the right states 'Conversion rate halved after the redesign', while the figure caption on the left",page
imgslide_1_S6_IMAGE_TEXT_CONTRADICTION_1_0003__freeform,S6_IMAGE_TEXT_CONTRADICTION,A,False,False,True,True,"[""S6_IMAGE_TEXT_CONTRADICTION""]",,,[],"{
  ""has_defect"": true,
  ""findings"": [
    {
      ""type"": ""S6_IMAGE_TEXT_CONTRADICTION"",
      ""severity"": ""severe"",
      ""locator"": {
        ""level"": ""page"",
        ""page_id"": ""imgslide_1"",
        ""element_id"": ""null"",
        ""related_page_ids"": []
      },
      ""evidence"": ""The text box on the right states 'Customer churn climbed to a record high', while the figure caption on the left st",page
imgslide_0_S6_IMAGE_TEXT_CONTRADICTION_1_0002__freeform,S6_IMAGE_TEXT_CONTRADICTION,A,False,False,True,True,"[""S6_IMAGE_TEXT_CONTRADICTION""]",,,[],"{
  ""has_defect"": true,
  ""findings"": [
    {
      ""type"": ""S6_IMAGE_TEXT_CONTRADICTION"",
      ""severity"": ""severe"",
      ""locator"": {
        ""level"": ""page"",
        ""page_id"": ""imgslide_0"",
        ""element_id"": ""null"",
        ""related_page_ids"": []
      },
      ""evidence"": ""The text box states 'Quarterly revenue fell sharply in Q4', but the figure caption below the green upward-pointing ",page
imgslide_3_S6_IMAGE_TEXT_CONTRADICTION_1_0005__freeform,S6_IMAGE_TEXT_CONTRADICTION,A,False,False,True,True,"[""S6_IMAGE_TEXT_CONTRADICTION""]",,,[],"{
  ""has_defect"": true,
  ""findings"": [
    {
      ""type"": ""S6_IMAGE_TEXT_CONTRADICTION"",
      ""severity"": ""severe"",
      ""locator"": {
        ""level"": ""page"",
        ""page_id"": ""imgslide_3"",
        ""element_id"": ""null"",
        ""related_page_ids"": []
      },
      ""evidence"": ""The text box states 'Market share contracted across all regions', while the figure caption below the green upward-p",page
imgslide_2_S6_IMAGE_TEXT_CONTRADICTION_1_0004__freeform,S6_IMAGE_TEXT_CONTRADICTION,A,False,False,True,True,"[""S6_IMAGE_TEXT_CONTRADICTION""]",,,[],"{
  ""has_defect"": true,
  ""findings"": [
    {
      ""type"": ""S6_IMAGE_TEXT_CONTRADICTION"",
      ""severity"": ""severe"",
      ""locator"": {
        ""level"": ""page"",
        ""page_id"": ""imgslide_2"",
        ""element_id"": ""null"",
        ""related_page_ids"": []
      },
      ""evidence"": ""The text box states 'Page load time got slower every release', but the figure caption below the red downward arrow ",page
imgslide_5_S6_IMAGE_TEXT_CONTRADICTION_1_0007__freeform,S6_IMAGE_TEXT_CONTRADICTION,A,False,False,True,True,"[""S6_IMAGE_TEXT_CONTRADICTION""]",,,[],"{
  ""has_defect"": true,
  ""findings"": [
    {
      ""type"": ""S6_IMAGE_TEXT_CONTRADICTION"",
      ""severity"": ""severe"",
      ""locator"": {
        ""level"": ""page"",
        ""page_id"": ""imgslide_5"",
        ""element_id"": ""null"",
        ""related_page_ids"": []
      },
      ""evidence"": ""The text box on the right states 'Signups stalled after the launch', while the figure caption on the left states 'S",page
imgslide_6_S6_IMAGE_TEXT_CONTRADICTION_1_0008__freeform,S6_IMAGE_TEXT_CONTRADICTION,A,False,False,True,True,"[""S6_IMAGE_TEXT_CONTRADICTION""]",,,[],"{
  ""has_defect"": true,
  ""findings"": [
    {
      ""type"": ""S6_IMAGE_TEXT_CONTRADICTION"",
      ""severity"": ""severe"",
      ""locator"": {
        ""level"": ""page"",
        ""page_id"": ""imgslide_6"",
        ""element_id"": ""null"",
        ""related_page_ids"": []
      },
      ""evidence"": ""The text box on the right states 'Operating costs rose quarter over quarter', while the figure caption on the left ",page
imgslide_4_S6_IMAGE_TEXT_CONTRADICTION_1_0006__freeform,S6_IMAGE_TEXT_CONTRADICTION,A,False,False,True,True,"[""S6_IMAGE_TEXT_CONTRADICTION""]",,,[],"{
  ""has_defect"": true,
  ""findings"": [
    {
      ""type"": ""S6_IMAGE_TEXT_CONTRADICTION"",
      ""severity"": ""severe"",
      ""locator"": {
        ""level"": ""page"",
        ""page_id"": ""imgslide_4"",
        ""element_id"": ""null"",
        ""related_page_ids"": []
      },
      ""evidence"": ""The text on the right states 'The defect rate rose every sprint', but the figure caption on the left states 'The de",page
imgslide_8_S6_IMAGE_TEXT_CONTRADICTION_1_0010__freeform,S6_IMAGE_TEXT_CONTRADICTION,A,False,False,True,True,"[""S6_IMAGE_TEXT_CONTRADICTION""]",,,[],"{
  ""has_defect"": true,
  ""findings"": [
    {
      ""type"": ""S6_IMAGE_TEXT_CONTRADICTION"",
      ""severity"": ""severe"",
      ""locator"": {
        ""level"": ""page"",
        ""page_id"": ""imgslide_8"",
        ""element_id"": ""null"",
        ""related_page_ids"": []
      },
      ""evidence"": ""The text box on the right states 'Uptime degraded to two nines', while the figure caption on the left states 'Uptim",page
