defect,modality,mode,probe_id,partner_id,pick_order0,pick_order1
G1_TEXT_OVERFLOW,A,clean,part2_logistics_visibility_3_G1_TEXT_OVERFLOW_4_0042__freeform__CLEAN,part2_logistics_visibility_4_G1_TEXT_OVERFLOW_32_0043__freeform__CLEAN,tie,tie
G1_TEXT_OVERFLOW,A,clean,part2_logistics_visibility_4_G1_TEXT_OVERFLOW_4_0043__freeform__CLEAN,part2_logistics_visibility_5_G1_TEXT_OVERFLOW_32_0044__freeform__CLEAN,tie,tie
G1_TEXT_OVERFLOW,A,clean,part2_marketing_attribution_1_G1_TEXT_OVERFLOW_4_0045__freeform__CLEAN,part2_marketing_attribution_2_G1_TEXT_OVERFLOW_32_0046__freeform__CLEAN,tie,tie
G1_TEXT_OVERFLOW,A,clean,part2_marketing_attribution_2_G1_TEXT_OVERFLOW_4_0046__freeform__CLEAN,part2_marketing_attribution_3_G1_TEXT_OVERFLOW_32_0047__freeform__CLEAN,tie,tie
G1_TEXT_OVERFLOW,A,clean,part2_marketing_attribution_1_G1_TEXT_OVERFLOW_32_0045__freeform__CLEAN,part2_marketing_attribution_1_G1_TEXT_OVERFLOW_4_0045__freeform__CLEAN,tie,tie
G1_TEXT_OVERFLOW,A,clean,part2_logistics_visibility_3_G1_TEXT_OVERFLOW_32_0042__freeform__CLEAN,part2_logistics_visibility_3_G1_TEXT_OVERFLOW_4_0042__freeform__CLEAN,tie,tie
G1_TEXT_OVERFLOW,A,clean,part2_marketing_attribution_3_G1_TEXT_OVERFLOW_4_0047__freeform__CLEAN,part2_marketing_attribution_4_G1_TEXT_OVERFLOW_32_0048__freeform__CLEAN,tie,tie
G1_TEXT_OVERFLOW,A,clean,part2_marketing_attribution_3_G1_TEXT_OVERFLOW_32_0047__freeform__CLEAN,part2_marketing_attribution_3_G1_TEXT_OVERFLOW_4_0047__freeform__CLEAN,tie,tie
G1_TEXT_OVERFLOW,A,clean,part2_marketing_attribution_2_G1_TEXT_OVERFLOW_32_0046__freeform__CLEAN,part2_marketing_attribution_2_G1_TEXT_OVERFLOW_4_0046__freeform__CLEAN,tie,tie
G1_TEXT_OVERFLOW,A,clean,part2_logistics_visibility_4_G1_TEXT_OVERFLOW_32_0043__freeform__CLEAN,part2_logistics_visibility_4_G1_TEXT_OVERFLOW_4_0043__freeform__CLEAN,tie,tie
G1_TEXT_OVERFLOW,A,clean,part2_logistics_visibility_5_G1_TEXT_OVERFLOW_32_0044__freeform__CLEAN,part2_logistics_visibility_5_G1_TEXT_OVERFLOW_4_0044__freeform__CLEAN,tie,tie
G1_TEXT_OVERFLOW,A,clean,part2_logistics_visibility_5_G1_TEXT_OVERFLOW_4_0044__freeform__CLEAN,part2_marketing_attribution_1_G1_TEXT_OVERFLOW_32_0045__freeform__CLEAN,tie,tie
G1_TEXT_OVERFLOW,A,clean,part2_marketing_attribution_4_G1_TEXT_OVERFLOW_32_0048__freeform__CLEAN,part2_marketing_attribution_4_G1_TEXT_OVERFLOW_4_0048__freeform__CLEAN,tie,tie
G1_TEXT_OVERFLOW,A,clean,part2_marketing_attribution_5_G1_TEXT_OVERFLOW_32_0049__freeform__CLEAN,part2_marketing_attribution_5_G1_TEXT_OVERFLOW_4_0049__freeform__CLEAN,tie,tie
G1_TEXT_OVERFLOW,A,clean,part2_marketing_attribution_4_G1_TEXT_OVERFLOW_4_0048__freeform__CLEAN,part2_marketing_attribution_5_G1_TEXT_OVERFLOW_32_0049__freeform__CLEAN,tie,tie
G1_TEXT_OVERFLOW,A,clean,part2_marketing_attribution_5_G1_TEXT_OVERFLOW_4_0049__freeform__CLEAN,part2_network_observability_1_G1_TEXT_OVERFLOW_32_0050__freeform__CLEAN,tie,tie
G1_TEXT_OVERFLOW,A,clean,part2_network_observability_1_G1_TEXT_OVERFLOW_32_0050__freeform__CLEAN,part2_network_observability_1_G1_TEXT_OVERFLOW_4_0050__freeform__CLEAN,tie,tie
G1_TEXT_OVERFLOW,A,clean,part2_network_observability_2_G1_TEXT_OVERFLOW_32_0051__freeform__CLEAN,part2_network_observability_2_G1_TEXT_OVERFLOW_4_0051__freeform__CLEAN,tie,tie
G1_TEXT_OVERFLOW,A,clean,part2_network_observability_1_G1_TEXT_OVERFLOW_4_0050__freeform__CLEAN,part2_network_observability_2_G1_TEXT_OVERFLOW_32_0051__freeform__CLEAN,tie,tie
G1_TEXT_OVERFLOW,A,clean,part2_network_observability_3_G1_TEXT_OVERFLOW_32_0052__freeform__CLEAN,part2_network_observability_3_G1_TEXT_OVERFLOW_4_0052__freeform__CLEAN,tie,tie
G1_TEXT_OVERFLOW,A,clean,part2_network_observability_4_G1_TEXT_OVERFLOW_32_0053__freeform__CLEAN,part2_network_observability_4_G1_TEXT_OVERFLOW_4_0053__freeform__CLEAN,tie,tie
