sample_id,defect,modality,is_clean,failure,has_defect,named_target,predicted_types,locator,confidence,other,raw,level
g3i_16_007,G3_ALIGNMENT_OFFSET,A,False,False,True,True,"[""G3_ALIGNMENT_OFFSET""]",,,[],"{""has_defect"": true, ""findings"": [{""type"": ""G3_ALIGNMENT_OFFSET"", ""severity"": ""minor"", ""locator"": {""level"": ""page"", ""page_id"": ""g3i_16_007"", ""element_id"": null, ""related_page_ids"": []}, ""evidence"": ""The three body text boxes are not left-aligned with each other or the title; they are progressively indented."", ""fix_suggestion"": ""Align the left edges of all three body text boxes to be consistent wit",page
g3i_32_002,G3_ALIGNMENT_OFFSET,A,False,False,True,True,"[""G3_ALIGNMENT_OFFSET""]",,,[],"{""has_defect"": true, ""findings"": [{""type"": ""G3_ALIGNMENT_OFFSET"", ""severity"": ""minor"", ""locator"": {""level"": ""page"", ""page_id"": ""g3i_32_002"", ""element_id"": null, ""related_page_ids"": []}, ""evidence"": ""The second bullet point box ('Teams adopt RetainML daily') is indented further to the right than the first and third boxes, creating an inconsistent vertical alignment."", ""fix_suggestion"": ""Align the l",page
g3i_32_008,G3_ALIGNMENT_OFFSET,A,False,False,True,True,"[""G3_ALIGNMENT_OFFSET""]",,,[],"{""has_defect"": true, ""findings"": [{""type"": ""G3_ALIGNMENT_OFFSET"", ""severity"": ""minor"", ""locator"": {""level"": ""page"", ""page_id"": ""g3i_32_008"", ""element_id"": null, ""related_page_ids"": []}, ""evidence"": ""The second text box ('RetainML automates...') is indented further to the right than the first and third text boxes, creating an inconsistent vertical alignment."", ""fix_suggestion"": ""Align the left edge",page
g3i_8_012,G3_ALIGNMENT_OFFSET,A,False,False,False,False,[],,,[],"{""has_defect"": false, ""findings"": []}",page
g3i_8_006,G3_ALIGNMENT_OFFSET,A,False,False,True,False,"[""S1_TITLE_BODY_MISMATCH""]",,,[],"{""has_defect"": true, ""findings"": [{""type"": ""S1_TITLE_BODY_MISMATCH"", ""severity"": ""moderate"", ""locator"": {""level"": ""page"", ""page_id"": ""g3i_8_006"", ""element_id"": null, ""related_page_ids"": []}, ""evidence"": ""The title 'How RetainML predicts churn' suggests a technical explanation of the prediction process, but the body text describes the operational benefits (manual vs automated process and error rate",page
g3i_8_000,G3_ALIGNMENT_OFFSET,A,False,False,True,False,"[""S1_TITLE_BODY_MISMATCH""]",,,[],"{""has_defect"": true, ""findings"": [{""type"": ""S1_TITLE_BODY_MISMATCH"", ""severity"": ""moderate"", ""locator"": {""level"": ""page"", ""page_id"": ""g3i_8_000"", ""element_id"": null, ""related_page_ids"": []}, ""evidence"": ""The title 'Churn is quietly compounding' describes a problem, but the body content lists benefits/value propositions of 'RetainML' (reducing toil, daily adoption, payback period), which are soluti",page
g3i_16_019,G3_ALIGNMENT_OFFSET,A,False,False,False,False,[],,,[],"{""has_defect"": false, ""findings"": []}",page
g3i_16_001,G3_ALIGNMENT_OFFSET,A,False,False,True,False,"[""S1_TITLE_BODY_MISMATCH""]",,,[],"{""has_defect"": true, ""findings"": [{""type"": ""S1_TITLE_BODY_MISMATCH"", ""severity"": ""moderate"", ""locator"": {""level"": ""page"", ""page_id"": ""g3i_16_001"", ""element_id"": null, ""related_page_ids"": []}, ""evidence"": ""The title 'Churn is quietly compounding' describes a problem, but the body text lists benefits/value propositions of 'RetainML' (reducing toil, daily adoption, payback period), which are solution",page
g3i_16_025,G3_ALIGNMENT_OFFSET,A,False,False,False,False,[],,,[],"{""has_defect"": false, ""findings"": []}",page
g3i_8_024,G3_ALIGNMENT_OFFSET,A,False,False,False,False,[],,,[],"{""has_defect"": false, ""findings"": []}",page
