sample_id,defect,modality,is_clean,failure,has_defect,named_target,predicted_types,locator,confidence,other,raw,level
part2_contract_review_3_G3_ALIGNMENT_OFFSET_2_0002__freeform,G3_ALIGNMENT_OFFSET,A,False,False,False,False,[],,1.0,[],"```json
{""present"": false, ""evidence_element"": """", ""evidence_region"": ""empty"", ""confidence"": 1.0}
```",page
part2_contract_review_2_G3_ALIGNMENT_OFFSET_16_0001__freeform,G3_ALIGNMENT_OFFSET,A,False,False,False,False,[],,1.0,[],"```json
{""present"": false, ""evidence_element"": """", ""evidence_region"": ""empty"", ""confidence"": 1.0}
```",page
part2_contract_review_1_G3_ALIGNMENT_OFFSET_2_0000__freeform,G3_ALIGNMENT_OFFSET,A,False,False,False,False,[],,1.0,[],"```json
{""present"": false, ""evidence_element"": """", ""evidence_region"": ""empty"", ""confidence"": 1.0}
```",page
part2_contract_review_4_G3_ALIGNMENT_OFFSET_2_0003__freeform,G3_ALIGNMENT_OFFSET,A,False,False,False,False,[],,0.95,[],"```json
{""present"": false, ""evidence_element"": """", ""evidence_region"": ""empty"", ""confidence"": 0.95}
```",page
part2_contract_review_2_G3_ALIGNMENT_OFFSET_2_0001__freeform,G3_ALIGNMENT_OFFSET,A,False,False,False,False,[],,1.0,[],"```json
{""present"": false, ""evidence_element"": """", ""evidence_region"": ""empty"", ""confidence"": 1.0}
```",page
part2_contract_review_4_G3_ALIGNMENT_OFFSET_16_0003__freeform,G3_ALIGNMENT_OFFSET,A,False,False,False,False,[],,0.95,[],"```json
{""present"": false, ""evidence_element"": """", ""evidence_region"": ""empty"", ""confidence"": 0.95}
```",page
part2_customer_support_ai_1_G3_ALIGNMENT_OFFSET_2_0005__freeform,G3_ALIGNMENT_OFFSET,A,False,False,False,False,[],,0.95,[],"```json
{""present"": false, ""evidence_element"": """", ""evidence_region"": """", ""confidence"": 0.95}
```",page
part2_contract_review_5_G3_ALIGNMENT_OFFSET_16_0004__freeform,G3_ALIGNMENT_OFFSET,A,False,False,False,False,[],,0.95,[],"```json
{""present"": false, ""evidence_element"": """", ""evidence_region"": """", ""confidence"": 0.95}
```",page
part2_contract_review_3_G3_ALIGNMENT_OFFSET_16_0002__freeform,G3_ALIGNMENT_OFFSET,A,False,False,True,True,"[""G3_ALIGNMENT_OFFSET""]","{""element"":""the second list item 'Teams adopt ClauseScan daily'"",""region"":""left""}",0.9,[],"```json
{""present"": true, ""evidence_element"": ""the second list item 'Teams adopt ClauseScan daily'"", ""evidence_region"": ""left"", ""confidence"": 0.9}
```",page
part2_contract_review_5_G3_ALIGNMENT_OFFSET_2_0004__freeform,G3_ALIGNMENT_OFFSET,A,False,False,False,False,[],,1.0,[],"```json
{
  ""present"": false,
  ""evidence_element"": """",
  ""evidence_region"": """",
  ""confidence"": 1.0
}
```",page
part2_customer_support_ai_1_G3_ALIGNMENT_OFFSET_16_0005__freeform,G3_ALIGNMENT_OFFSET,A,False,False,True,True,"[""G3_ALIGNMENT_OFFSET""]","{""element"":""the second list item 'HelpBot beat the baseline by double digits'"",""region"":""left""}",0.95,[],"```json
{""present"": true, ""evidence_element"": ""the second list item 'HelpBot beat the baseline by double digits'"", ""evidence_region"": ""left"", ""confidence"": 0.95}
```",page
part2_contract_review_1_G3_ALIGNMENT_OFFSET_16_0000__freeform,G3_ALIGNMENT_OFFSET,A,False,False,True,True,"[""G3_ALIGNMENT_OFFSET""]","{""element"":""the bottom list item 'Cost and latency dashboards per service'"",""region"":""left""}",0.95,[],"```json
{
  ""present"": true,
  ""evidence_element"": ""the bottom list item 'Cost and latency dashboards per service'"",
  ""evidence_region"": ""left"",
  ""confidence"": 0.95
}
```",page
part2_customer_support_ai_2_G3_ALIGNMENT_OFFSET_2_0006__freeform,G3_ALIGNMENT_OFFSET,A,False,False,False,False,[],,1.0,[],"```json
{""present"": false, ""evidence_element"": """", ""evidence_region"": ""empty"", ""confidence"": 1.0}
```",page
part2_customer_support_ai_3_G3_ALIGNMENT_OFFSET_2_0007__freeform,G3_ALIGNMENT_OFFSET,A,False,False,False,False,[],,1.0,[],"```json
{""present"": false, ""evidence_element"": """", ""evidence_region"": ""empty"", ""confidence"": 1.0}
```",page
part2_customer_support_ai_2_G3_ALIGNMENT_OFFSET_16_0006__freeform,G3_ALIGNMENT_OFFSET,A,False,False,True,True,"[""G3_ALIGNMENT_OFFSET""]","{""element"":""the bottom list item"",""region"":""left""}",0.9,[],"```json
{""present"": true, ""evidence_element"": ""the bottom list item"", ""evidence_region"": ""left"", ""confidence"": 0.9}
```",page
part2_customer_support_ai_4_G3_ALIGNMENT_OFFSET_2_0008__freeform,G3_ALIGNMENT_OFFSET,A,False,False,False,False,[],,1.0,[],"```json
{""present"": false, ""evidence_element"": """", ""evidence_region"": ""empty"", ""confidence"": 1.0}
```",page
part2_customer_support_ai_5_G3_ALIGNMENT_OFFSET_2_0009__freeform,G3_ALIGNMENT_OFFSET,A,False,False,False,False,[],,1.0,[],"```json
{""present"": false, ""evidence_element"": """", ""evidence_region"": ""empty"", ""confidence"": 1.0}
```",page
part2_customer_support_ai_4_G3_ALIGNMENT_OFFSET_16_0008__freeform,G3_ALIGNMENT_OFFSET,A,False,False,True,True,"[""G3_ALIGNMENT_OFFSET""]","{""element"":""the bottom list item"",""region"":""left""}",0.9,[],"```json
{""present"": true, ""evidence_element"": ""the bottom list item"", ""evidence_region"": ""left"", ""confidence"": 0.9}
```",page
part2_customer_support_ai_3_G3_ALIGNMENT_OFFSET_16_0007__freeform,G3_ALIGNMENT_OFFSET,A,False,False,True,True,"[""G3_ALIGNMENT_OFFSET""]","{""element"":""the bottom list item 'Compliance reviewed the design'"",""region"":""left""}",0.9,[],"```json
{""present"": true, ""evidence_element"": ""the bottom list item 'Compliance reviewed the design'"", ""evidence_region"": ""left"", ""confidence"": 0.9}
```",page
part2_doc_search_1_G3_ALIGNMENT_OFFSET_4_0000__freeform,G3_ALIGNMENT_OFFSET,A,False,False,False,False,[],,1.0,[],"```json
{""present"": false, ""evidence_element"": """", ""evidence_region"": ""empty"", ""confidence"": 1.0}
```",page
