defect,modality,mode,probe_id,partner_id,pick_order0,pick_order1
G3_ALIGNMENT_OFFSET,A,paired,g3i_16_007,g3i_16_007__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_32_002,g3i_32_002__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_8_000,g3i_8_000__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_32_008,g3i_32_008__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_16_001,g3i_16_001__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_8_006,g3i_8_006__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_8_012,g3i_8_012__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_16_013,g3i_16_013__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_32_014,g3i_32_014__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_8_018,g3i_8_018__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_32_020,g3i_32_020__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_16_019,g3i_16_019__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_8_024,g3i_8_024__CLEAN,a,a
G3_ALIGNMENT_OFFSET,A,paired,g3i_16_025,g3i_16_025__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_32_026,g3i_32_026__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_8_030,g3i_8_030__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_16_031,g3i_16_031__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_32_032,g3i_32_032__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_8_036,g3i_8_036__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_16_037,g3i_16_037__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_32_038,g3i_32_038__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_8_042,g3i_8_042__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_16_043,g3i_16_043__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_32_044,g3i_32_044__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_8_048,g3i_8_048__CLEAN,b,a
G3_ALIGNMENT_OFFSET,A,paired,g3i_16_049,g3i_16_049__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_32_050,g3i_32_050__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_8_054,g3i_8_054__CLEAN,a,a
G3_ALIGNMENT_OFFSET,A,paired,g3i_16_055,g3i_16_055__CLEAN,a,a
G3_ALIGNMENT_OFFSET,A,paired,g3i_32_056,g3i_32_056__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_8_060,g3i_8_060__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_16_061,g3i_16_061__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_32_062,g3i_32_062__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_8_066,g3i_8_066__CLEAN,b,tie
G3_ALIGNMENT_OFFSET,A,paired,g3i_16_067,g3i_16_067__CLEAN,b,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_32_068,g3i_32_068__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_8_072,g3i_8_072__CLEAN,b,tie
G3_ALIGNMENT_OFFSET,A,paired,g3i_16_073,g3i_16_073__CLEAN,b,tie
G3_ALIGNMENT_OFFSET,A,paired,g3i_32_074,g3i_32_074__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_8_078,g3i_8_078__CLEAN,b,a
G3_ALIGNMENT_OFFSET,A,paired,g3i_16_079,g3i_16_079__CLEAN,b,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_32_080,g3i_32_080__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_8_084,g3i_8_084__CLEAN,b,a
G3_ALIGNMENT_OFFSET,A,paired,g3i_16_085,g3i_16_085__CLEAN,a,a
G3_ALIGNMENT_OFFSET,A,paired,g3i_32_086,g3i_32_086__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_8_090,g3i_8_090__CLEAN,b,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_16_091,g3i_16_091__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_32_092,g3i_32_092__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_8_096,g3i_8_096__CLEAN,b,a
G3_ALIGNMENT_OFFSET,A,paired,g3i_16_097,g3i_16_097__CLEAN,b,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_32_098,g3i_32_098__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_8_102,g3i_8_102__CLEAN,b,tie
G3_ALIGNMENT_OFFSET,A,paired,g3i_16_103,g3i_16_103__CLEAN,b,tie
G3_ALIGNMENT_OFFSET,A,paired,g3i_32_104,g3i_32_104__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_8_108,g3i_8_108__CLEAN,a,a
G3_ALIGNMENT_OFFSET,A,paired,g3i_16_109,g3i_16_109__CLEAN,a,a
G3_ALIGNMENT_OFFSET,A,paired,g3i_32_110,g3i_32_110__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_8_114,g3i_8_114__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_16_115,g3i_16_115__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_32_116,g3i_32_116__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_8_120,g3i_8_120__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_16_121,g3i_16_121__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_32_122,g3i_32_122__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_8_126,g3i_8_126__CLEAN,b,a
G3_ALIGNMENT_OFFSET,A,paired,g3i_16_127,g3i_16_127__CLEAN,a,tie
G3_ALIGNMENT_OFFSET,A,paired,g3i_32_128,g3i_32_128__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_8_132,g3i_8_132__CLEAN,a,a
G3_ALIGNMENT_OFFSET,A,paired,g3i_16_133,g3i_16_133__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_32_134,g3i_32_134__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_8_138,g3i_8_138__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_16_139,g3i_16_139__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_32_140,g3i_32_140__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_8_144,g3i_8_144__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_16_145,g3i_16_145__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_32_146,g3i_32_146__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_8_150,g3i_8_150__CLEAN,tie,tie
G3_ALIGNMENT_OFFSET,A,paired,g3i_16_151,g3i_16_151__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_32_152,g3i_32_152__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_8_156,g3i_8_156__CLEAN,a,a
G3_ALIGNMENT_OFFSET,A,paired,g3i_16_157,g3i_16_157__CLEAN,a,a
G3_ALIGNMENT_OFFSET,A,paired,g3i_32_158,g3i_32_158__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_8_162,g3i_8_162__CLEAN,b,a
G3_ALIGNMENT_OFFSET,A,paired,g3i_16_163,g3i_16_163__CLEAN,a,a
G3_ALIGNMENT_OFFSET,A,paired,g3i_32_164,g3i_32_164__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_8_168,g3i_8_168__CLEAN,a,a
G3_ALIGNMENT_OFFSET,A,paired,g3i_16_169,g3i_16_169__CLEAN,a,a
G3_ALIGNMENT_OFFSET,A,paired,g3i_32_170,g3i_32_170__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_8_174,g3i_8_174__CLEAN,a,a
G3_ALIGNMENT_OFFSET,A,paired,g3i_16_175,g3i_16_175__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_32_176,g3i_32_176__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_8_180,g3i_8_180__CLEAN,a,a
G3_ALIGNMENT_OFFSET,A,paired,g3i_16_181,g3i_16_181__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_32_182,g3i_32_182__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_8_186,g3i_8_186__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_16_187,g3i_16_187__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,g3i_32_188,g3i_32_188__CLEAN,a,b
