sample_id,defect,modality,is_clean,failure,has_defect,named_target,predicted_types,locator,confidence,other,raw,stage2_raw,level
g7_card_height_000,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,True,False,"[""G1_TEXT_OVERFLOW"",""G3_ALIGNMENT_OFFSET""]",,,"[{""text"":""repeated title 'Solution Overview'"",""raw_type"":""OTHER""},{""text"":""box serves no clear purpose"",""raw_type"":""OTHER""}]","- **Layout/Containment:** The bulleted list is broken. The first five items are inside the bordered box, while the last three items (""Cost attribution,"" ""Multi-tenant isolation,"" and ""Zero-downtime upgrades"") are spilling outside the bottom of the box.
- **Redundancy:** The text ""Solution Overview"" is repeated twice—once as the main slide title and again as a header inside the box.
- **Alignment/S","```json
{
  ""defects"": [
    {
      ""type"": ""G1_TEXT_OVERFLOW"",
      ""locator"": ""bulleted list spilling outside bordered box""
    },
    {
      ""type"": ""OTHER"",
      ""locator"": ""repeated title 'Solution Overview'""
    },
    {
      ""type"": ""G3_ALIGNMENT_OFFSET"",
      ""locator"": ""inconsistent g",page
g7_card_height_002,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,True,True,"[""G3_ALIGNMENT_OFFSET"",""G4_FONT_SIZE_INCONSISTENCY"",""G7_RENDER_CONTAINMENT_OVERFLOW""]","{""element"":""risk items spilling outside green border box"",""quote"":""""}",,"[{""text"":""repeated text 'Risk Register'"",""raw_type"":""OTHER""}]","- **Layout/Containment:** The list of risks is broken. Five items are inside the green border box, while three items (""Latency regressions"", ""Cost overrun"", and ""Change-management gaps"") are spilling outside the bottom of the box.
- **Redundancy:** The text ""Risk Register"" is repeated three times: once as the main slide title, once as a header inside the green box, and once as the conceptual theme","```json
{
  ""defects"": [
    {
      ""type"": ""G7_RENDER_CONTAINMENT_OVERFLOW"",
      ""locator"": ""risk items spilling outside green border box""
    },
    {
      ""type"": ""OTHER"",
      ""locator"": ""repeated text 'Risk Register'""
    },
    {
      ""type"": ""G3_ALIGNMENT_OFFSET"",
      ""locator"": ""inco",page
g7_card_height_004,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,True,True,"[""G3_ALIGNMENT_OFFSET"",""G5_BRAND_COLOR_VIOLATION"",""G7_RENDER_CONTAINMENT_OVERFLOW""]","{""element"":""green box clipping feature list"",""quote"":""""}",,"[{""text"":""redundant 'Solution Overview' text"",""raw_type"":""OTHER""},{""text"":""unbalanced negative space on right"",""raw_type"":""OTHER""}]","This slide has several significant design and layout issues:

**1. Redundancy (Text)**
*   **Header/Box Title:** The phrase ""Solution Overview"" is repeated twice—once as the main slide title and again as a header inside the green box. This is redundant and wastes space.

**2. Layout and Containment (The Green Box)**
*   **Arbitrary Clipping:** The green box cuts off the list of features mid-way. F","```json
{
  ""defects"": [
    {
      ""type"": ""OTHER"",
      ""locator"": ""redundant 'Solution Overview' text""
    },
    {
      ""type"": ""G7_RENDER_CONTAINMENT_OVERFLOW"",
      ""locator"": ""green box clipping feature list""
    },
    {
      ""type"": ""G3_ALIGNMENT_OFFSET"",
      ""locator"": ""bullet point",page
g7_card_height_005,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,True,True,"[""G3_ALIGNMENT_OFFSET"",""G5_BRAND_COLOR_VIOLATION"",""G7_RENDER_CONTAINMENT_OVERFLOW""]","{""element"":""list items spilling outside bottom of orange box"",""quote"":""""}",,"[{""text"":""redundant repetition of Implementation Roadmap"",""raw_type"":""OTHER""},{""text"":""bulleted list used instead of timeline visualization"",""raw_type"":""OTHER""}]","This slide has several significant design and layout failures:

**1. Redundancy (Text)**
*   **Header/Title:** The phrase ""Implementation Roadmap"" is repeated three times: once as the main slide title, once as a header inside the orange box, and once as the conceptual theme of the list. This is redundant and wastes space.

**2. Layout and Containment (The Orange Box)**
*   **Incorrect Clipping:** ","```json
{
  ""defects"": [
    {
      ""type"": ""G7_RENDER_CONTAINMENT_OVERFLOW"",
      ""locator"": ""list items spilling outside bottom of orange box""
    },
    {
      ""type"": ""G3_ALIGNMENT_OFFSET"",
      ""locator"": ""bullet points indented differently inside and outside box""
    },
    {
      ""type"":",page
g7_card_height_001,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,True,True,"[""G3_ALIGNMENT_OFFSET"",""G5_BRAND_COLOR_VIOLATION"",""G7_RENDER_CONTAINMENT_OVERFLOW""]","{""element"":""poor padding inside green box"",""quote"":""""}",,"[{""text"":""redundant header and box title"",""raw_type"":""OTHER""},{""text"":""unbalanced layout with excessive white space"",""raw_type"":""OTHER""},{""text"":""ineffective list for architecture communication"",""raw_type"":""OTHER""}]","This slide has several significant design and layout issues:

**1. Redundancy (Text)**
*   **Header vs. Box Title:** The phrase ""Platform Architecture"" is repeated twice—once as the main slide title and again as the title inside the green box. This is redundant and wastes space.

**2. Layout and Containment (The Green Box)**
*   **Broken List Logic:** The list of components is split arbitrarily. F","```json
{
  ""defects"": [
    {
      ""type"": ""OTHER"",
      ""locator"": ""redundant header and box title""
    },
    {
      ""type"": ""G7_RENDER_CONTAINMENT_OVERFLOW"",
      ""locator"": ""poor padding inside green box""
    },
    {
      ""type"": ""G3_ALIGNMENT_OFFSET"",
      ""locator"": ""misaligned bullet ",page
g7_card_height_003,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,True,True,"[""G1_TEXT_OVERFLOW"",""G3_ALIGNMENT_OFFSET"",""G5_BRAND_COLOR_VIOLATION"",""G7_RENDER_CONTAINMENT_OVERFLOW""]","{""element"":""green border cuts off list mid-way"",""quote"":""""}",,"[{""text"":""redundant Q3 Go-to-Market Plan text"",""raw_type"":""OTHER""},{""text"":""unbalanced layout with excessive right white space"",""raw_type"":""OTHER""}]","This slide has several significant design and layout issues:

**1. Redundancy (Text)**
*   **Header/Box Title:** The phrase ""Q3 Go-to-Market Plan"" is repeated three times: once as the main slide title, once as the header inside the green box, and once as the implied subject of the list. This is redundant and wastes space.

**2. Layout and Containment (The Green Box)**
*   **Arbitrary Clipping:** T","```json
{
  ""defects"": [
    {
      ""type"": ""OTHER"",
      ""locator"": ""redundant Q3 Go-to-Market Plan text""
    },
    {
      ""type"": ""G7_RENDER_CONTAINMENT_OVERFLOW"",
      ""locator"": ""green border cuts off list mid-way""
    },
    {
      ""type"": ""G3_ALIGNMENT_OFFSET"",
      ""locator"": ""bullet p",page
g7_card_height_007,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,True,True,"[""G3_ALIGNMENT_OFFSET"",""G7_RENDER_CONTAINMENT_OVERFLOW""]","{""element"":""orange border box cutting off bullet points"",""quote"":""""}",,"[{""text"":""repeated text 'Success Metrics'"",""raw_type"":""OTHER""},{""text"":""non-functional orange box layout"",""raw_type"":""OTHER""}]","- **Layout/Containment:** The orange border box is incorrectly sized. It cuts off the last three bullet points (""Inference cost,"" ""Ticket deflection,"" and ""Logo retention""), leaving them floating outside the container.
- **Redundancy:** The text ""Success Metrics"" is repeated twice—once as the main slide title and again as a header inside the orange box.
- **Alignment/Spacing:** There is an inconsi","```json
{
  ""defects"": [
    {
      ""type"": ""G7_RENDER_CONTAINMENT_OVERFLOW"",
      ""locator"": ""orange border box cutting off bullet points""
    },
    {
      ""type"": ""OTHER"",
      ""locator"": ""repeated text 'Success Metrics'""
    },
    {
      ""type"": ""G3_ALIGNMENT_OFFSET"",
      ""locator"": ""gap",page
g7_card_height_006,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,True,False,"[""G1_TEXT_OVERFLOW"",""G3_ALIGNMENT_OFFSET"",""G5_BRAND_COLOR_VIOLATION""]",,,"[{""text"":""redundant 'Platform Architecture' title and header"",""raw_type"":""OTHER""}]","This slide is low-quality and contains several fundamental design and layout errors:

**1. Content Overflow (Critical)**
*   **Bottom-left region:** Three bullet points (""Offline eval harness"", ""Drift monitors"", and ""Cost governor"") are spilling outside the orange border of the main content box. This makes the slide look broken and unfinished.

**2. Redundancy**
*   **Top-left region:** The phrase","```json
{
  ""defects"": [
    {
      ""type"": ""G1_TEXT_OVERFLOW"",
      ""locator"": ""bottom-left bullet points spilling outside orange border""
    },
    {
      ""type"": ""OTHER"",
      ""locator"": ""redundant 'Platform Architecture' title and header""
    },
    {
      ""type"": ""G3_ALIGNMENT_OFFSET"",
   ",page
g7_card_height_009,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,True,True,"[""G3_ALIGNMENT_OFFSET"",""G7_RENDER_CONTAINMENT_OVERFLOW""]","{""element"":""bulleted list spilling outside blue border"",""quote"":""""}",,"[{""text"":""repeated text 'Risk Register'"",""raw_type"":""OTHER""},{""text"":""blue box poorly sized"",""raw_type"":""OTHER""}]","- **Layout/Containment:** The bulleted list is broken. The last three items (""Latency regressions"", ""Cost overrun"", and ""Change-management gaps"") are spilling outside the blue border of the ""Risk Register"" box.
- **Redundancy:** The text ""Risk Register"" is repeated twice—once as the main slide title and again as a header inside the blue box.
- **Alignment/Spacing:** There is an inconsistent gap be","```json
{
  ""defects"": [
    {
      ""type"": ""G7_RENDER_CONTAINMENT_OVERFLOW"",
      ""locator"": ""bulleted list spilling outside blue border""
    },
    {
      ""type"": ""OTHER"",
      ""locator"": ""repeated text 'Risk Register'""
    },
    {
      ""type"": ""G3_ALIGNMENT_OFFSET"",
      ""locator"": ""incons",page
g7_card_height_011,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,True,True,"[""G3_ALIGNMENT_OFFSET"",""G7_RENDER_CONTAINMENT_OVERFLOW""]","{""element"":""bulleted list spilling outside blue border"",""quote"":""""}",,"[{""text"":""repeated text 'Risk Register'"",""raw_type"":""OTHER""},{""text"":""blue box poorly sized"",""raw_type"":""OTHER""}]","- **Layout/Containment:** The bulleted list is broken. The last three items (""Latency regressions"", ""Cost overrun"", and ""Change-management gaps"") are spilling outside the blue border of the ""Risk Register"" box.
- **Redundancy:** The text ""Risk Register"" is repeated twice—once as the main slide title and again as a header inside the blue box.
- **Alignment/Spacing:** There is an inconsistent gap be","```json
{
  ""defects"": [
    {
      ""type"": ""G7_RENDER_CONTAINMENT_OVERFLOW"",
      ""locator"": ""bulleted list spilling outside blue border""
    },
    {
      ""type"": ""OTHER"",
      ""locator"": ""repeated text 'Risk Register'""
    },
    {
      ""type"": ""G3_ALIGNMENT_OFFSET"",
      ""locator"": ""incons",page
