defect,modality,mode,probe_id,partner_id,pick_order0,pick_order1
G3_ALIGNMENT_OFFSET,A,paired,part2_contract_review_3_G3_ALIGNMENT_OFFSET_2_0002__freeform,part2_contract_review_3_G3_ALIGNMENT_OFFSET_2_0002__freeform__CLEAN,tie,tie
G3_ALIGNMENT_OFFSET,A,paired,part2_contract_review_4_G3_ALIGNMENT_OFFSET_16_0003__freeform,part2_contract_review_4_G3_ALIGNMENT_OFFSET_16_0003__freeform__CLEAN,tie,tie
G3_ALIGNMENT_OFFSET,A,paired,part2_contract_review_2_G3_ALIGNMENT_OFFSET_2_0001__freeform,part2_contract_review_2_G3_ALIGNMENT_OFFSET_2_0001__freeform__CLEAN,tie,tie
G3_ALIGNMENT_OFFSET,A,paired,part2_contract_review_4_G3_ALIGNMENT_OFFSET_2_0003__freeform,part2_contract_review_4_G3_ALIGNMENT_OFFSET_2_0003__freeform__CLEAN,tie,tie
G3_ALIGNMENT_OFFSET,A,paired,part2_contract_review_5_G3_ALIGNMENT_OFFSET_2_0004__freeform,part2_contract_review_5_G3_ALIGNMENT_OFFSET_2_0004__freeform__CLEAN,tie,tie
G3_ALIGNMENT_OFFSET,A,paired,part2_contract_review_1_G3_ALIGNMENT_OFFSET_16_0000__freeform,part2_contract_review_1_G3_ALIGNMENT_OFFSET_16_0000__freeform__CLEAN,tie,tie
G3_ALIGNMENT_OFFSET,A,paired,part2_customer_support_ai_1_G3_ALIGNMENT_OFFSET_16_0005__freeform,part2_customer_support_ai_1_G3_ALIGNMENT_OFFSET_16_0005__freeform__CLEAN,tie,tie
G3_ALIGNMENT_OFFSET,A,paired,part2_customer_support_ai_1_G3_ALIGNMENT_OFFSET_2_0005__freeform,part2_customer_support_ai_1_G3_ALIGNMENT_OFFSET_2_0005__freeform__CLEAN,tie,tie
G3_ALIGNMENT_OFFSET,A,paired,part2_contract_review_1_G3_ALIGNMENT_OFFSET_2_0000__freeform,part2_contract_review_1_G3_ALIGNMENT_OFFSET_2_0000__freeform__CLEAN,tie,tie
G3_ALIGNMENT_OFFSET,A,paired,part2_contract_review_2_G3_ALIGNMENT_OFFSET_16_0001__freeform,part2_contract_review_2_G3_ALIGNMENT_OFFSET_16_0001__freeform__CLEAN,tie,tie
G3_ALIGNMENT_OFFSET,A,paired,part2_customer_support_ai_2_G3_ALIGNMENT_OFFSET_2_0006__freeform,part2_customer_support_ai_2_G3_ALIGNMENT_OFFSET_2_0006__freeform__CLEAN,tie,tie
G3_ALIGNMENT_OFFSET,A,paired,part2_customer_support_ai_2_G3_ALIGNMENT_OFFSET_16_0006__freeform,part2_customer_support_ai_2_G3_ALIGNMENT_OFFSET_16_0006__freeform__CLEAN,tie,tie
G3_ALIGNMENT_OFFSET,A,paired,part2_customer_support_ai_3_G3_ALIGNMENT_OFFSET_2_0007__freeform,part2_customer_support_ai_3_G3_ALIGNMENT_OFFSET_2_0007__freeform__CLEAN,tie,tie
G3_ALIGNMENT_OFFSET,A,paired,part2_customer_support_ai_4_G3_ALIGNMENT_OFFSET_16_0008__freeform,part2_customer_support_ai_4_G3_ALIGNMENT_OFFSET_16_0008__freeform__CLEAN,tie,tie
G3_ALIGNMENT_OFFSET,A,paired,part2_customer_support_ai_5_G3_ALIGNMENT_OFFSET_2_0009__freeform,part2_customer_support_ai_5_G3_ALIGNMENT_OFFSET_2_0009__freeform__CLEAN,tie,tie
G3_ALIGNMENT_OFFSET,A,paired,part2_customer_support_ai_4_G3_ALIGNMENT_OFFSET_2_0008__freeform,part2_customer_support_ai_4_G3_ALIGNMENT_OFFSET_2_0008__freeform__CLEAN,tie,tie
G3_ALIGNMENT_OFFSET,A,paired,part2_doc_search_1_G3_ALIGNMENT_OFFSET_4_0000__freeform,part2_doc_search_1_G3_ALIGNMENT_OFFSET_4_0000__freeform__CLEAN,tie,tie
G3_ALIGNMENT_OFFSET,A,paired,part2_contract_review_5_G3_ALIGNMENT_OFFSET_16_0004__freeform,part2_contract_review_5_G3_ALIGNMENT_OFFSET_16_0004__freeform__CLEAN,tie,tie
G3_ALIGNMENT_OFFSET,A,paired,part2_customer_support_ai_3_G3_ALIGNMENT_OFFSET_16_0007__freeform,part2_customer_support_ai_3_G3_ALIGNMENT_OFFSET_16_0007__freeform__CLEAN,tie,tie
G3_ALIGNMENT_OFFSET,A,paired,part2_customer_support_ai_5_G3_ALIGNMENT_OFFSET_16_0009__freeform,part2_customer_support_ai_5_G3_ALIGNMENT_OFFSET_16_0009__freeform__CLEAN,tie,tie
G3_ALIGNMENT_OFFSET,A,paired,part2_doc_search_2_G3_ALIGNMENT_OFFSET_4_0001__freeform,part2_doc_search_2_G3_ALIGNMENT_OFFSET_4_0001__freeform__CLEAN,tie,tie
G3_ALIGNMENT_OFFSET,A,paired,part2_doc_search_4_G3_ALIGNMENT_OFFSET_32_0003__freeform,part2_doc_search_4_G3_ALIGNMENT_OFFSET_32_0003__freeform__CLEAN,tie,b
G3_ALIGNMENT_OFFSET,A,paired,part2_doc_search_4_G3_ALIGNMENT_OFFSET_4_0003__freeform,part2_doc_search_4_G3_ALIGNMENT_OFFSET_4_0003__freeform__CLEAN,tie,tie
G3_ALIGNMENT_OFFSET,A,paired,part2_doc_search_3_G3_ALIGNMENT_OFFSET_4_0002__freeform,part2_doc_search_3_G3_ALIGNMENT_OFFSET_4_0002__freeform__CLEAN,tie,tie
G3_ALIGNMENT_OFFSET,A,paired,part2_contract_review_3_G3_ALIGNMENT_OFFSET_16_0002__freeform,part2_contract_review_3_G3_ALIGNMENT_OFFSET_16_0002__freeform__CLEAN,tie,tie
G3_ALIGNMENT_OFFSET,A,paired,part2_energy_forecasting_1_G3_ALIGNMENT_OFFSET_4_0005__freeform,part2_energy_forecasting_1_G3_ALIGNMENT_OFFSET_4_0005__freeform__CLEAN,tie,tie
G3_ALIGNMENT_OFFSET,A,paired,part2_doc_search_5_G3_ALIGNMENT_OFFSET_4_0004__freeform,part2_doc_search_5_G3_ALIGNMENT_OFFSET_4_0004__freeform__CLEAN,tie,tie
G3_ALIGNMENT_OFFSET,A,paired,part2_energy_forecasting_3_G3_ALIGNMENT_OFFSET_4_0007__freeform,part2_energy_forecasting_3_G3_ALIGNMENT_OFFSET_4_0007__freeform__CLEAN,tie,tie
G3_ALIGNMENT_OFFSET,A,paired,part2_energy_forecasting_2_G3_ALIGNMENT_OFFSET_4_0006__freeform,part2_energy_forecasting_2_G3_ALIGNMENT_OFFSET_4_0006__freeform__CLEAN,tie,tie
G3_ALIGNMENT_OFFSET,A,paired,part2_energy_forecasting_1_G3_ALIGNMENT_OFFSET_32_0005__freeform,part2_energy_forecasting_1_G3_ALIGNMENT_OFFSET_32_0005__freeform__CLEAN,tie,tie
G3_ALIGNMENT_OFFSET,A,paired,part2_energy_forecasting_4_G3_ALIGNMENT_OFFSET_4_0008__freeform,part2_energy_forecasting_4_G3_ALIGNMENT_OFFSET_4_0008__freeform__CLEAN,tie,tie
G3_ALIGNMENT_OFFSET,A,paired,part2_energy_forecasting_5_G3_ALIGNMENT_OFFSET_4_0009__freeform,part2_energy_forecasting_5_G3_ALIGNMENT_OFFSET_4_0009__freeform__CLEAN,tie,tie
G3_ALIGNMENT_OFFSET,A,paired,part2_doc_search_1_G3_ALIGNMENT_OFFSET_32_0000__freeform,part2_doc_search_1_G3_ALIGNMENT_OFFSET_32_0000__freeform__CLEAN,tie,b
G3_ALIGNMENT_OFFSET,A,paired,part2_energy_forecasting_4_G3_ALIGNMENT_OFFSET_32_0008__freeform,part2_energy_forecasting_4_G3_ALIGNMENT_OFFSET_32_0008__freeform__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,part2_doc_search_5_G3_ALIGNMENT_OFFSET_32_0004__freeform,part2_doc_search_5_G3_ALIGNMENT_OFFSET_32_0004__freeform__CLEAN,tie,b
G3_ALIGNMENT_OFFSET,A,paired,part2_energy_forecasting_3_G3_ALIGNMENT_OFFSET_32_0007__freeform,part2_energy_forecasting_3_G3_ALIGNMENT_OFFSET_32_0007__freeform__CLEAN,tie,b
G3_ALIGNMENT_OFFSET,A,paired,part2_hr_analytics_4_G3_ALIGNMENT_OFFSET_48_0003__freeform,part2_hr_analytics_4_G3_ALIGNMENT_OFFSET_48_0003__freeform__CLEAN,a,b
G3_ALIGNMENT_OFFSET,A,paired,part2_inventory_optimization_3_G3_ALIGNMENT_OFFSET_48_0007__freeform,part2_inventory_optimization_3_G3_ALIGNMENT_OFFSET_48_0007__freeform__CLEAN,tie,b
G3_ALIGNMENT_OFFSET,A,paired,part2_hr_analytics_1_G3_ALIGNMENT_OFFSET_48_0000__freeform,part2_hr_analytics_1_G3_ALIGNMENT_OFFSET_48_0000__freeform__CLEAN,a,b
