defect,modality,mode,probe_id,partner_id,pick_order0,pick_order1
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_card_height_004__CLEAN,g7_card_height_005__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_card_height_001__CLEAN,g7_card_height_002__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_card_height_003__CLEAN,g7_card_height_004__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_card_height_002__CLEAN,g7_card_height_003__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_card_height_005__CLEAN,g7_card_height_006__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_card_height_000__CLEAN,g7_card_height_001__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_card_height_006__CLEAN,g7_card_height_007__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_card_height_008__CLEAN,g7_card_height_009__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_card_height_007__CLEAN,g7_card_height_008__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_card_height_009__CLEAN,g7_card_height_010__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_card_height_010__CLEAN,g7_card_height_011__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_card_height_011__CLEAN,g7_card_height_012__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_card_height_012__CLEAN,g7_card_height_013__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_card_height_013__CLEAN,g7_card_height_014__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_card_height_014__CLEAN,g7_card_height_015__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_card_height_015__CLEAN,g7_card_height_016__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_card_height_016__CLEAN,g7_card_height_017__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_card_height_017__CLEAN,g7_card_height_018__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_card_height_018__CLEAN,g7_card_height_019__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_card_height_019__CLEAN,g7_card_height_020__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_card_height_020__CLEAN,g7_card_height_021__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_card_height_021__CLEAN,g7_card_height_022__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_card_height_022__CLEAN,g7_card_height_023__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_card_height_023__CLEAN,g7_card_height_024__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_card_height_024__CLEAN,g7_card_height_025__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_card_height_025__CLEAN,g7_card_height_026__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_card_height_026__CLEAN,g7_card_height_027__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_card_height_027__CLEAN,g7_card_height_028__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_card_height_028__CLEAN,g7_card_height_029__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_card_height_029__CLEAN,g7_unbreakable_text_000__CLEAN,b,a
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_unbreakable_text_000__CLEAN,g7_unbreakable_text_001__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_unbreakable_text_001__CLEAN,g7_unbreakable_text_002__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_unbreakable_text_002__CLEAN,g7_unbreakable_text_003__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_unbreakable_text_003__CLEAN,g7_unbreakable_text_004__CLEAN,a,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_unbreakable_text_004__CLEAN,g7_unbreakable_text_005__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_unbreakable_text_005__CLEAN,g7_unbreakable_text_006__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_unbreakable_text_006__CLEAN,g7_unbreakable_text_007__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_unbreakable_text_007__CLEAN,g7_unbreakable_text_008__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_unbreakable_text_008__CLEAN,g7_unbreakable_text_009__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_unbreakable_text_009__CLEAN,g7_unbreakable_text_010__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_unbreakable_text_010__CLEAN,g7_unbreakable_text_011__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_unbreakable_text_011__CLEAN,g7_unbreakable_text_012__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_unbreakable_text_012__CLEAN,g7_unbreakable_text_013__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_unbreakable_text_013__CLEAN,g7_unbreakable_text_014__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_unbreakable_text_014__CLEAN,g7_unbreakable_text_015__CLEAN,tie,a
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_unbreakable_text_015__CLEAN,g7_unbreakable_text_016__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_unbreakable_text_016__CLEAN,g7_unbreakable_text_017__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_unbreakable_text_017__CLEAN,g7_unbreakable_text_018__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_unbreakable_text_018__CLEAN,g7_unbreakable_text_019__CLEAN,a,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_unbreakable_text_019__CLEAN,g7_unbreakable_text_020__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_unbreakable_text_020__CLEAN,g7_unbreakable_text_021__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_unbreakable_text_021__CLEAN,g7_unbreakable_text_022__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_unbreakable_text_022__CLEAN,g7_unbreakable_text_023__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_unbreakable_text_023__CLEAN,g7_unbreakable_text_024__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_unbreakable_text_024__CLEAN,g7_unbreakable_text_025__CLEAN,tie,tie
G7_RENDER_CONTAINMENT_OVERFLOW,A,clean,g7_unbreakable_text_025__CLEAN,g7_unbreakable_text_026__CLEAN,tie,tie
