sample_id,defect,modality,is_clean,failure,present,localized,repair_ok,evidence_element,raw
f84df5643d99a205e6b6508baea351a5-GONNET_Research__s31__G2_ELEMENT_OVERLAP,G2_ELEMENT_OVERLAP,B,False,False,False,False,False,,"{""present"": false, ""evidence_element"": """", ""evidence_region"": """", ""fix"": """", ""confidence"": 1.0}"
f84df5643d99a205e6b6508baea351a5-GONNET_Research__s31__G2_ELEMENT_OVERLAP,G2_ELEMENT_OVERLAP,B,True,False,False,False,False,,"{""present"": false, ""evidence_element"": """", ""evidence_region"": """", ""fix"": """", ""confidence"": 1.0}"
f84df5643d99a205e6b6508baea351a5-GONNET_Research__s5__G3_ALIGNMENT_OFFSET,G3_ALIGNMENT_OFFSET,A,True,False,False,False,False,,"{""present"": false, ""evidence_element"": """", ""evidence_region"": """", ""fix"": """", ""confidence"": 0.0}"
f84df5643d99a205e6b6508baea351a5-GONNET_Research__s31__G2_ELEMENT_OVERLAP,G2_ELEMENT_OVERLAP,A,False,False,False,False,False,,"{""present"": false, ""evidence_element"": """", ""evidence_region"": """", ""fix"": """", ""confidence"": 1.0}"
f84df5643d99a205e6b6508baea351a5-GONNET_Research__s5__G3_ALIGNMENT_OFFSET,G3_ALIGNMENT_OFFSET,A,False,False,False,False,False,,"{""present"": false, ""evidence_element"": """", ""evidence_region"": """", ""fix"": """", ""confidence"": 0.0}"
f84df5643d99a205e6b6508baea351a5-GONNET_Research__s31__G2_ELEMENT_OVERLAP,G2_ELEMENT_OVERLAP,A,True,False,False,False,False,,"{""present"": false, ""evidence_element"": """", ""evidence_region"": """", ""fix"": """", ""confidence"": 0.0}"
f84df5643d99a205e6b6508baea351a5-GONNET_Research__s31__G2_ELEMENT_OVERLAP,G2_ELEMENT_OVERLAP,C,True,False,False,False,False,,"{
  ""present"": false,
  ""evidence_element"": """",
  ""evidence_region"": """",
  ""fix"": """",
  ""confidence"": 1.0
}"
f84df5643d99a205e6b6508baea351a5-GONNET_Research__s31__G2_ELEMENT_OVERLAP,G2_ELEMENT_OVERLAP,C,False,False,True,True,True,shp3,"{
  ""present"": true,
  ""evidence_element"": ""shp3"",
  ""evidence_region"": ""center"",
  ""fix"": ""Move the text 'Titre de la présentation' to a separate slide or position it below the title."",
  ""confidence"": 0.9
}"
65b9f618e026be90484c974a204ae812-04_Ivanovic_Mla__s4__G1_TEXT_OVERFLOW,G1_TEXT_OVERFLOW,A,True,False,False,False,False,,"{
  ""present"": false,
  ""evidence_element"": """",
  ""evidence_region"": """",
  ""fix"": """",
  ""confidence"": 1.0
}"
f84df5643d99a205e6b6508baea351a5-GONNET_Research__s5__G3_ALIGNMENT_OFFSET,G3_ALIGNMENT_OFFSET,B,False,False,True,True,True,shp3,"{""present"": true, ""evidence_element"": ""shp3"", ""evidence_region"": ""bottom-right"", ""fix"": ""Adjust the position of 'shp3' to align with the baseline of 'shp4'"", ""confidence"": 0.8}"
