sample_id,defect,modality,is_clean,failure,has_defect,named_target,predicted_types,locator,confidence,other,raw,level
part2_logistics_visibility_5_G1_TEXT_OVERFLOW_32_0044__freeform,G1_TEXT_OVERFLOW,A,False,False,False,False,[],,,[],"{
  ""has_defect"": false,
  ""findings"": []
}",page
part2_marketing_attribution_3_G1_TEXT_OVERFLOW_32_0047__freeform,G1_TEXT_OVERFLOW,A,False,False,False,False,[],,,[],"{
  ""has_defect"": false,
  ""findings"": []
}",page
part2_marketing_attribution_2_G1_TEXT_OVERFLOW_32_0046__freeform,G1_TEXT_OVERFLOW,A,False,False,False,False,[],,,[],"{
  ""has_defect"": false,
  ""findings"": []
}",page
part2_logistics_visibility_5_G1_TEXT_OVERFLOW_4_0044__freeform,G1_TEXT_OVERFLOW,A,False,False,False,False,[],,,[],"{
  ""has_defect"": false,
  ""findings"": []
}",page
part2_marketing_attribution_1_G1_TEXT_OVERFLOW_32_0045__freeform,G1_TEXT_OVERFLOW,A,False,False,False,False,[],,,[],"{
  ""has_defect"": false,
  ""findings"": []
}",page
part2_logistics_visibility_3_G1_TEXT_OVERFLOW_4_0042__freeform,G1_TEXT_OVERFLOW,A,False,False,False,False,[],,,[],"{
  ""has_defect"": false,
  ""findings"": []
}",page
part2_logistics_visibility_4_G1_TEXT_OVERFLOW_4_0043__freeform,G1_TEXT_OVERFLOW,A,False,False,False,False,[],,,[],"{
  ""has_defect"": false,
  ""findings"": []
}",page
part2_logistics_visibility_3_G1_TEXT_OVERFLOW_32_0042__freeform,G1_TEXT_OVERFLOW,A,False,False,False,False,[],,,[],"{
  ""has_defect"": false,
  ""findings"": []
}",page
part2_logistics_visibility_4_G1_TEXT_OVERFLOW_32_0043__freeform,G1_TEXT_OVERFLOW,A,False,False,False,False,[],,,[],"{
  ""has_defect"": false,
  ""findings"": []
}",page
part2_marketing_attribution_3_G1_TEXT_OVERFLOW_4_0047__freeform,G1_TEXT_OVERFLOW,A,False,False,False,False,[],,,[],"{
  ""has_defect"": false,
  ""findings"": []
}",page
part2_marketing_attribution_2_G1_TEXT_OVERFLOW_4_0046__freeform,G1_TEXT_OVERFLOW,A,False,False,False,False,[],,,[],"{
  ""has_defect"": false,
  ""findings"": []
}",page
part2_marketing_attribution_4_G1_TEXT_OVERFLOW_32_0048__freeform,G1_TEXT_OVERFLOW,A,False,False,False,False,[],,,[],"{
  ""has_defect"": false,
  ""findings"": []
}",page
part2_marketing_attribution_5_G1_TEXT_OVERFLOW_32_0049__freeform,G1_TEXT_OVERFLOW,A,False,False,False,False,[],,,[],"{
  ""has_defect"": false,
  ""findings"": []
}",page
part2_marketing_attribution_4_G1_TEXT_OVERFLOW_4_0048__freeform,G1_TEXT_OVERFLOW,A,False,False,False,False,[],,,[],"{
  ""has_defect"": false,
  ""findings"": []
}",page
part2_network_observability_1_G1_TEXT_OVERFLOW_4_0050__freeform,G1_TEXT_OVERFLOW,A,False,False,False,False,[],,,[],"{
  ""has_defect"": false,
  ""findings"": []
}",page
part2_network_observability_2_G1_TEXT_OVERFLOW_32_0051__freeform,G1_TEXT_OVERFLOW,A,False,False,False,False,[],,,[],"{
  ""has_defect"": false,
  ""findings"": []
}",page
part2_network_observability_1_G1_TEXT_OVERFLOW_32_0050__freeform,G1_TEXT_OVERFLOW,A,False,False,False,False,[],,,[],"{
  ""has_defect"": false,
  ""findings"": []
}",page
