sample_id,defect,modality,is_clean,failure,has_defect,named_target,predicted_types,locator,confidence,other,raw,stage2_raw,level
g7_card_height_002,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,True,False,"[""G3_ALIGNMENT_OFFSET""]",,,"[{""text"":""Duplicate title text in green box"",""raw_type"":""OTHER""},{""text"":""Unbalanced layout with empty space"",""raw_type"":""OTHER""}]","Here are the specific issues with this slide:

1.  **Duplicate Title:** The text ""Risk Register"" appears twice. Once as the main slide title in the top-left corner, and again inside the green box. This is redundant and wastes space.
2.  **Broken List Structure:** The bulleted list is split into two separate groups. The first five items are inside the green box, while the last three items (""Latency","{
  ""defects"": [
    {
      ""type"": ""OTHER"",
      ""locator"": ""Duplicate title text in green box""
    },
    {
      ""type"": ""G3_ALIGNMENT_OFFSET"",
      ""locator"": ""List items split inside and outside box""
    },
    {
      ""type"": ""OTHER"",
      ""locator"": ""Unbalanced layout with empty space""
  ",page
g7_card_height_000,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,True,True,"[""G3_ALIGNMENT_OFFSET"",""G7_RENDER_CONTAINMENT_OVERFLOW""]","{""element"":""Bottom three bullet points outside bordered box"",""quote"":""""}",,"[{""text"":""Redundant Solution Overview heading"",""raw_type"":""OTHER""},{""text"":""Content clustered top-left, sparse layout"",""raw_type"":""OTHER""}]","Here are the specific issues with this slide:

1.  **Broken Layout / Content Spilling Outside Container:** The most significant error is that the bottom three bullet points (""Cost attribution,"" ""Multi-tenant isolation,"" and ""Zero-downtime upgrades"") are positioned **outside** the bordered box. They appear to have been pushed out or placed incorrectly, breaking the visual grouping of the list.
2.  ","{
  ""defects"": [
    {
      ""type"": ""G7_RENDER_CONTAINMENT_OVERFLOW"",
      ""locator"": ""Bottom three bullet points outside bordered box""
    },
    {
      ""type"": ""OTHER"",
      ""locator"": ""Redundant Solution Overview heading""
    },
    {
      ""type"": ""OTHER"",
      ""locator"": ""Content clustered",page
g7_card_height_003,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,True,False,"[""G3_ALIGNMENT_OFFSET"",""G5_BRAND_COLOR_VIOLATION"",""S4_DENSITY_RULE_VIOLATION""]",,,[],"Here are the specific issues with this slide:

1.  **Duplicate Title:** The text ""Q3 Go-to-Market Plan"" appears twice. Once as the main slide title at the top left, and again inside the green box. This is redundant and wastes space.
2.  **Broken List Structure:** The bulleted list is split into two separate groups. The first five items are inside the green box, while the last three items (""Pilot u","{
  ""defects"": [
    {
      ""type"": ""S4_DENSITY_RULE_VIOLATION"",
      ""locator"": ""Duplicate title text wastes space""
    },
    {
      ""type"": ""G3_ALIGNMENT_OFFSET"",
      ""locator"": ""List items split across containers""
    },
    {
      ""type"": ""G3_ALIGNMENT_OFFSET"",
      ""locator"": ""Unbalance",page
g7_card_height_004,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,True,False,"[""G3_ALIGNMENT_OFFSET"",""G4_FONT_SIZE_INCONSISTENCY"",""S4_DENSITY_RULE_VIOLATION""]",,,[],"Here are the specific issues with this slide:

1.  **Duplicate Title:** The text ""Solution Overview"" appears twice. Once as the main slide title at the top left, and again inside the green box. This is redundant and wastes space.
2.  **Broken List Structure:** The bulleted list is split into two separate groups. The first five items are inside the green box, while the last three items (""Cost attri","{
  ""defects"": [
    {
      ""type"": ""S4_DENSITY_RULE_VIOLATION"",
      ""locator"": ""Redundant duplicate title text""
    },
    {
      ""type"": ""G3_ALIGNMENT_OFFSET"",
      ""locator"": ""List items split across containers""
    },
    {
      ""type"": ""G3_ALIGNMENT_OFFSET"",
      ""locator"": ""Unbalanced e",page
g7_card_height_005,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,True,True,"[""G3_ALIGNMENT_OFFSET"",""G7_RENDER_CONTAINMENT_OVERFLOW"",""S4_DENSITY_RULE_VIOLATION""]","{""element"":""List items spill outside beige box"",""quote"":""""}",,[],"Here are the specific issues with the slide:

1.  **Redundant Title:** The text ""Implementation Roadmap"" appears twice. It is present as the main slide title at the top left, and then repeated again inside the beige box. This is unnecessary and wastes space.
2.  **Broken Layout / Spilling Content:** The list of items is split awkwardly by the beige box. The first five items are inside the box, but","{
  ""defects"": [
    {
      ""type"": ""S4_DENSITY_RULE_VIOLATION"",
      ""locator"": ""Redundant title text wastes space""
    },
    {
      ""type"": ""G7_RENDER_CONTAINMENT_OVERFLOW"",
      ""locator"": ""List items spill outside beige box""
    },
    {
      ""type"": ""G3_ALIGNMENT_OFFSET"",
      ""locator"":",page
g7_card_height_001,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,True,True,"[""G3_ALIGNMENT_OFFSET"",""G4_FONT_SIZE_INCONSISTENCY"",""G7_RENDER_CONTAINMENT_OVERFLOW"",""S4_DENSITY_RULE_VIOLATION""]","{""element"":""List items fall outside green box"",""quote"":""""}",,[],"Here are the specific issues with this slide:

1.  **Redundant Heading:** The slide title ""Platform Architecture"" (top left) is repeated verbatim as the header inside the green box. This is unnecessary and wastes space.
2.  **Broken List Structure:** The bulleted list is split into two disjointed sections. The first five items are inside the green box, while the last three items (""Offline eval har","{
  ""defects"": [
    {
      ""type"": ""S4_DENSITY_RULE_VIOLATION"",
      ""locator"": ""Redundant heading wastes space""
    },
    {
      ""type"": ""G7_RENDER_CONTAINMENT_OVERFLOW"",
      ""locator"": ""List items fall outside green box""
    },
    {
      ""type"": ""G3_ALIGNMENT_OFFSET"",
      ""locator"": ""Un",page
g7_card_height_007,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,True,True,"[""G7_RENDER_CONTAINMENT_OVERFLOW""]","{""element"":""Bullet points spill outside beige box"",""quote"":""""}",,"[{""text"":""Duplicate title text in box"",""raw_type"":""OTHER""},{""text"":""Unbalanced empty space in beige box"",""raw_type"":""OTHER""}]","Here are the specific issues with this slide:

1.  **Duplicate Title:** The text ""Success Metrics"" appears twice. Once as the main slide title at the top left, and again inside the beige box. This is redundant and wastes space.
2.  **Broken Layout / Spilling Content:** The list of bullet points is split between two areas. The first five items are inside the beige box, but the last three items (""In","{
  ""defects"": [
    {
      ""type"": ""G7_RENDER_CONTAINMENT_OVERFLOW"",
      ""locator"": ""Bullet points spill outside beige box""
    },
    {
      ""type"": ""OTHER"",
      ""locator"": ""Duplicate title text in box""
    },
    {
      ""type"": ""OTHER"",
      ""locator"": ""Unbalanced empty space in beige box",page
g7_card_height_009,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,True,True,"[""G4_FONT_SIZE_INCONSISTENCY"",""G7_RENDER_CONTAINMENT_OVERFLOW"",""S4_DENSITY_RULE_VIOLATION""]","{""element"":""List items spill outside blue box"",""quote"":""""}",,[],"Here are the specific issues with this slide:

1.  **Broken Layout / Spilling Content:** The most critical error is that the list items ""Latency regressions,"" ""Cost overrun,"" and ""Change-management gaps"" are positioned **outside** the blue-bordered box. They appear to have spilled out of the container, breaking the visual grouping and making the slide look unfinished or broken.
2.  **Redundant Hea","{
  ""defects"": [
    {
      ""type"": ""G7_RENDER_CONTAINMENT_OVERFLOW"",
      ""locator"": ""List items spill outside blue box""
    },
    {
      ""type"": ""S4_DENSITY_RULE_VIOLATION"",
      ""locator"": ""Slide content extremely sparse and unbalanced""
    },
    {
      ""type"": ""G4_FONT_SIZE_INCONSISTENCY""",page
g7_card_height_008,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,True,False,"[""G3_ALIGNMENT_OFFSET""]",,,"[{""text"":""Duplicate title text in beige box"",""raw_type"":""OTHER""},{""text"":""Unbalanced layout with large empty space"",""raw_type"":""OTHER""}]","Here are the specific issues with this slide:

1.  **Duplicate Title:** The text ""Q3 Go-to-Market Plan"" appears twice. Once as the main slide title at the top left, and again inside the beige box. This is redundant and wastes space.
2.  **Broken List Structure:** The bulleted list is split into two separate groups. The first five items are inside the beige box, while the last three items (""Pilot u","{
  ""defects"": [
    {
      ""type"": ""OTHER"",
      ""locator"": ""Duplicate title text in beige box""
    },
    {
      ""type"": ""G3_ALIGNMENT_OFFSET"",
      ""locator"": ""List items split inside and outside box""
    },
    {
      ""type"": ""OTHER"",
      ""locator"": ""Unbalanced layout with large empty spa",page
g7_card_height_006,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,True,True,"[""G3_ALIGNMENT_OFFSET"",""G7_RENDER_CONTAINMENT_OVERFLOW""]","{""element"":""Bullet points spill outside orange box"",""quote"":""""}",,"[{""text"":""Redundant title repeated in orange box"",""raw_type"":""OTHER""},{""text"":""Poor space usage with empty area"",""raw_type"":""OTHER""},{""text"":""Lack of visual hierarchy for items"",""raw_type"":""OTHER""}]","Here are the specific issues with this slide:

1.  **Redundant Title:** The slide has a main title ""Platform Architecture"" at the top left, and then the exact same text is repeated as a header inside the orange box immediately below it. This is unnecessary repetition.
2.  **Broken Layout / Spilling Content:** The list of bullet points is split across two different containers. The first five items ","{
  ""defects"": [
    {
      ""type"": ""OTHER"",
      ""locator"": ""Redundant title repeated in orange box""
    },
    {
      ""type"": ""G7_RENDER_CONTAINMENT_OVERFLOW"",
      ""locator"": ""Bullet points spill outside orange box""
    },
    {
      ""type"": ""G3_ALIGNMENT_OFFSET"",
      ""locator"": ""Spilled i",page
