sample_id,defect,modality,is_clean,failure,has_defect,named_target,predicted_types,locator,confidence,other,raw,stage2_raw,level
part2_logistics_visibility_4_G1_TEXT_OVERFLOW_4_0043__template,G1_TEXT_OVERFLOW,A,False,False,False,False,[],,,[],NO PROBLEMS,,page
part2_logistics_visibility_4_G1_TEXT_OVERFLOW_32_0043__template,G1_TEXT_OVERFLOW,A,False,False,False,False,[],,,[],NO PROBLEMS,,page
part2_logistics_visibility_4_G1_TEXT_OVERFLOW_4_0043__freeform,G1_TEXT_OVERFLOW,A,False,False,True,False,"[""G2_ELEMENT_OVERLAP"",""G3_ALIGNMENT_OFFSET"",""G4_FONT_SIZE_INCONSISTENCY"",""G6_MARGIN_VIOLATION""]",,,[],"The slide has several issues:

- The title ""ShipEye impact on on-time delivery XX"" is misaligned and appears to be cut off on the left side, suggesting it's spilling outside its intended container or frame.
- The three action items (""Approve the phase 1 budget for ShipEye"", ""Assign two platform engineers"", ""Confirm the cutover freeze window"") are presented in separate boxes that are not visually c","{""defects"": [{""type"": ""G3_ALIGNMENT_OFFSET"", ""locator"": ""Title text is cut off and misaligned""}, {""type"": ""G2_ELEMENT_OVERLAP"", ""locator"": ""Action items are disconnected and ungrouped""}, {""type"": ""G6_MARGIN_VIOLATION"", ""locator"": ""Excessive white space below action items""}, {""type"": ""G4_FONT_SIZE_IN",page
part2_logistics_visibility_3_G1_TEXT_OVERFLOW_32_0042__freeform,G1_TEXT_OVERFLOW,A,False,False,True,False,"[""G3_ALIGNMENT_OFFSET""]",,,[],"The slide has several significant design and layout issues:

1.  **Title Spacing:** The title ""ShipEye tracks every leg XXX"" is not vertically centered within its container. There is a large, uneven amount of white space above the text, making it look misaligned and unbalanced.
2.  **List Item Spacing:** The three list items (""Shadow traffic before switching ShipEye"", ""Automated rollback within fi","{""defects"": [{""type"": ""G3_ALIGNMENT_OFFSET"", ""locator"": ""Title not vertically centered in container""}, {""type"": ""G3_ALIGNMENT_OFFSET"", ""locator"": ""List items have inconsistent vertical spacing""}, {""type"": ""G3_ALIGNMENT_OFFSET"", ""locator"": ""Text alignment inconsistent within list items""}, {""type"": ""G",page
part2_marketing_attribution_1_G1_TEXT_OVERFLOW_4_0045__template,G1_TEXT_OVERFLOW,A,False,False,False,False,[],,,[],NO PROBLEMS,,page
part2_logistics_visibility_5_G1_TEXT_OVERFLOW_32_0044__template,G1_TEXT_OVERFLOW,A,False,False,True,True,"[""G1_TEXT_OVERFLOW"",""G3_ALIGNMENT_OFFSET"",""G5_BRAND_COLOR_VIOLATION"",""G6_MARGIN_VIOLATION""]","{""element"":""Title text spills over container boundary"",""quote"":""""}",,"[{""text"":""Lack of visual hierarchy in slide design"",""raw_type"":""OTHER""}]","The slide has several significant design and layout issues that make it look low-quality and unprofessional:

1.  **Title Spillover:** The title text ""A pragmatic ShipEye plan XXX"" is not contained within its box. The word ""XXX"" at the end of the title is visibly spilling over the right edge of the light gray title bar, breaking the container's boundary.
2.  **Poor Spacing:** There is a large, emp","{""defects"": [{""type"": ""G1_TEXT_OVERFLOW"", ""locator"": ""Title text spills over container boundary""}, {""type"": ""G6_MARGIN_VIOLATION"", ""locator"": ""Large empty space disrupts layout balance""}, {""type"": ""G3_ALIGNMENT_OFFSET"", ""locator"": ""Inconsistent vertical spacing between bullet points""}, {""type"": ""G5_",page
part2_logistics_visibility_5_G1_TEXT_OVERFLOW_32_0044__freeform,G1_TEXT_OVERFLOW,A,False,False,True,False,"[""G2_ELEMENT_OVERLAP"",""G4_FONT_SIZE_INCONSISTENCY"",""G6_MARGIN_VIOLATION"",""G7_RENDER_CONTAINMENT_OVERFLOW""]",,,[],"The slide has several significant design and layout issues that make it look unprofessional and low-quality:

1.  **Title Box Overflow:** The title ""A pragmatic ShipEye plan XXX"" is contained within a light gray box that extends beyond the left and top edges of the slide's visible content area. This causes the title box to appear ""spilled"" or cut off at the top and left, which is a major layout er","{
  ""defects"": [
    {""type"": ""G7_RENDER_CONTAINMENT_OVERFLOW"", ""locator"": ""Title box spills beyond slide edges""},
    {""type"": ""G6_MARGIN_VIOLATION"", ""locator"": ""Large empty space disrupts layout balance""},
    {""type"": ""G2_ELEMENT_OVERLAP"", ""locator"": ""Repeated boxes create clunky visual clutter""}",page
part2_logistics_visibility_5_G1_TEXT_OVERFLOW_4_0044__template,G1_TEXT_OVERFLOW,A,False,False,True,False,"[""G2_ELEMENT_OVERLAP"",""G3_ALIGNMENT_OFFSET"",""G4_FONT_SIZE_INCONSISTENCY"",""G5_BRAND_COLOR_VIOLATION"",""G6_MARGIN_VIOLATION""]",,,[],"The slide has several significant design and layout issues that make it look low-quality and unprofessional:

1.  **Title Spacing:** The title ""A pragmatic ShipEye plan XX"" is positioned too far down from the top edge of the slide, leaving a large, awkward amount of empty white space above it.
2.  **Inconsistent Spacing Between Elements:** There is a massive, inconsistent gap between the title box","{""defects"": [{""type"": ""G3_ALIGNMENT_OFFSET"", ""locator"": ""Title positioned too far from top edge""}, {""type"": ""G2_ELEMENT_OVERLAP"", ""locator"": ""Inconsistent gap between title and bullet boxes""}, {""type"": ""G6_MARGIN_VIOLATION"", ""locator"": ""Content clustered at top leaving bottom empty""}, {""type"": ""G4_F",page
part2_logistics_visibility_5_G1_TEXT_OVERFLOW_4_0044__freeform,G1_TEXT_OVERFLOW,A,False,False,True,False,"[""G3_ALIGNMENT_OFFSET"",""G7_RENDER_CONTAINMENT_OVERFLOW""]",,,"[{""text"":""Title contains unprofessional placeholder prefix"",""raw_type"":""OTHER""}]","The slide has several significant design and layout issues that make it look unprofessional and low-quality:

1.  **Title Box Overflow:** The title ""XX A pragmatic ShipEye plan"" is contained within a light gray box that is visibly cut off at the top and left edges of the slide. This indicates the text or the box itself is spilling outside the intended boundaries.
2.  **Inconsistent List Formatting","{
  ""defects"": [
    {""type"": ""G7_RENDER_CONTAINMENT_OVERFLOW"", ""locator"": ""Title box text spills outside container""},
    {""type"": ""G3_ALIGNMENT_OFFSET"", ""locator"": ""List items have inconsistent vertical spacing""},
    {""type"": ""G3_ALIGNMENT_OFFSET"", ""locator"": ""List items are not aligned with each",page
part2_logistics_visibility_3_G1_TEXT_OVERFLOW_4_0042__freeform,G1_TEXT_OVERFLOW,A,False,False,True,True,"[""G1_TEXT_OVERFLOW"",""G3_ALIGNMENT_OFFSET"",""G4_FONT_SIZE_INCONSISTENCY"",""G5_BRAND_COLOR_VIOLATION"",""G6_MARGIN_VIOLATION""]","{""element"":""Title text extends beyond container box"",""quote"":""""}",,[],"The slide has several significant design and layout issues:

1.  **Title Spillover:** The title ""ShipEye tracks every leg XX"" is not contained within its box. The text ""XX"" extends beyond the right edge of the light gray rectangular background box, breaking the visual boundary.
2.  **Inconsistent Spacing:** There is a large, empty white space between the title section and the list of bullet points","{""defects"": [{""type"": ""G1_TEXT_OVERFLOW"", ""locator"": ""Title text extends beyond container box""}, {""type"": ""G6_MARGIN_VIOLATION"", ""locator"": ""Large empty space wastes vertical slide space""}, {""type"": ""G3_ALIGNMENT_OFFSET"", ""locator"": ""Bullet points misaligned with title box edge""}, {""type"": ""G4_FONT_",page
