sample_id,defect,modality,is_clean,failure,has_defect,named_target,predicted_types,locator,confidence,other,raw,level
g7_card_height_000,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,True,False,"[""G3_ALIGNMENT_OFFSET""]",,,[],"```json
{
""has_defect"": true,
""findings"": [
{
""type"": ""G3_ALIGNMENT_OFFSET"",
""severity"": ""moderate"",
""locator"": {
""level"": ""page"",
""page_id"": ""g7_card_height_000"",
""element_id"": ""null"",
""related_page_ids"": []
},
""evidence"": ""The bullet points 'Cost attribution', 'Multi-tenant isolation', and 'Zero-downtime upgrades' are visually separated from the preceding list items and fall outside the containi",page
g7_card_height_004,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,True,False,"[""G3_ALIGNMENT_OFFSET""]",,,[],"```json
{
""has_defect"": true,
""findings"": [
{
""type"": ""G3_ALIGNMENT_OFFSET"",
""severity"": ""moderate"",
""locator"": {
""level"": ""page"",
""page_id"": ""g7_card_height_004"",
""element_id"": ""null"",
""related_page_ids"": []
},
""evidence"": ""The bullet points 'Cost attribution', 'Multi-tenant isolation', and 'Zero-downtime upgrades' are visually separated from the preceding list items and fall outside the green co",page
g7_card_height_003,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,True,False,"[""G3_ALIGNMENT_OFFSET""]",,,[],"```json
{
""has_defect"": true,
""findings"": [
{
""type"": ""G3_ALIGNMENT_OFFSET"",
""severity"": ""moderate"",
""locator"": {
""level"": ""page"",
""page_id"": ""g7_card_height_003"",
""element_id"": ""null"",
""related_page_ids"": []
},
""evidence"": ""The bullet points 'Pilot usage-based billing', 'Stand up a customer council', and 'Ship the self-serve trial' are visually separated from the green box containing the other it",page
g7_card_height_001,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,True,False,"[""G3_ALIGNMENT_OFFSET""]",,,[],"```json
{
""has_defect"": true,
""findings"": [
{
""type"": ""G3_ALIGNMENT_OFFSET"",
""severity"": ""moderate"",
""locator"": {
""level"": ""page"",
""page_id"": ""g7_card_height_001"",
""element_id"": ""null"",
""related_page_ids"": []
},
""evidence"": ""The bullet points 'Offline eval harness', 'Drift monitors', and 'Cost governor' are visually misaligned with the preceding list items inside the green box. They appear to be o",page
g7_card_height_005,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,True,False,"[""G3_ALIGNMENT_OFFSET""]",,,[],"```json
{
  ""has_defect"": true,
  ""findings"": [
    {
      ""type"": ""G3_ALIGNMENT_OFFSET"",
      ""severity"": ""moderate"",
      ""locator"": {
        ""level"": ""page"",
        ""page_id"": ""g7_card_height_005"",
        ""element_id"": ""null"",
        ""related_page_ids"": []
      },
      ""evidence"": ""The bullet points 'Enablement & training', 'SLA hardening', and 'Quarterly business review' are positione",page
g7_card_height_002,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,True,False,"[""G3_ALIGNMENT_OFFSET""]",,,[],"```json
{
""has_defect"": true,
""findings"": [
{
""type"": ""G3_ALIGNMENT_OFFSET"",
""severity"": ""moderate"",
""locator"": {
""level"": ""page"",
""page_id"": ""g7_card_height_002"",
""element_id"": ""null"",
""related_page_ids"": []
},
""evidence"": ""The bullet points 'Latency regressions', 'Cost overrun', and 'Change-management gaps' are visually misaligned with the list inside the green box. They appear to be outside the",page
g7_card_height_006,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,True,False,"[""G3_ALIGNMENT_OFFSET""]",,,[],"```json
{
""has_defect"": true,
""findings"": [
{
""type"": ""G3_ALIGNMENT_OFFSET"",
""severity"": ""moderate"",
""locator"": {
""level"": ""page"",
""page_id"": ""g7_card_height_006"",
""element_id"": ""null"",
""related_page_ids"": []
},
""evidence"": ""The bullet points 'Offline eval harness', 'Drift monitors', and 'Cost governor' are visually misaligned with the preceding list items inside the box. They appear to be outside",page
g7_card_height_008,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,True,False,"[""G3_ALIGNMENT_OFFSET""]",,,[],"```json
{
""has_defect"": true,
""findings"": [
{
""type"": ""G3_ALIGNMENT_OFFSET"",
""severity"": ""moderate"",
""locator"": {
""level"": ""page"",
""page_id"": ""g7_card_height_008"",
""element_id"": ""null"",
""related_page_ids"": []
},
""evidence"": ""The bullet points 'Pilot usage-based billing', 'Stand up a customer council', and 'Ship the self-serve trial' are visually separated from the main list inside the box and are ",page
g7_card_height_007,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,True,False,"[""G3_ALIGNMENT_OFFSET""]",,,[],"```json
{
  ""has_defect"": true,
  ""findings"": [
    {
      ""type"": ""G3_ALIGNMENT_OFFSET"",
      ""severity"": ""moderate"",
      ""locator"": {
        ""level"": ""page"",
        ""page_id"": ""g7_card_height_007"",
        ""element_id"": ""null"",
        ""related_page_ids"": []
      },
      ""evidence"": ""The bullet points 'Inference cost', 'Ticket deflection', and 'Logo retention' are visually separated from",page
g7_card_height_009,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,True,False,"[""G3_ALIGNMENT_OFFSET""]",,,[],"```json
{
""has_defect"": true,
""findings"": [
{
""type"": ""G3_ALIGNMENT_OFFSET"",
""severity"": ""moderate"",
""locator"": {
""level"": ""page"",
""page_id"": ""g7_card_height_009"",
""element_id"": ""null"",
""related_page_ids"": []
},
""evidence"": ""The bullet points 'Latency regressions', 'Cost overrun', and 'Change-management gaps' are visually misaligned with the list inside the box. They appear to be outside the conta",page
g7_card_height_010,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,True,False,"[""G3_ALIGNMENT_OFFSET""]",,,[],"```json
{
""has_defect"": true,
""findings"": [
{
""type"": ""G3_ALIGNMENT_OFFSET"",
""severity"": ""moderate"",
""locator"": {
""level"": ""page"",
""page_id"": ""g7_card_height_010"",
""element_id"": ""null"",
""related_page_ids"": []
},
""evidence"": ""The bullet points 'Cost attribution', 'Multi-tenant isolation', and 'Zero-downtime upgrades' are visually misaligned with the list inside the box. They appear to be outside th",page
