defect,modality,mode,probe_id,partner_id,pick_order0,pick_order1
S6_IMAGE_TEXT_CONTRADICTION,A,paired,imgslide_1_S6_IMAGE_TEXT_CONTRADICTION_1_0003__freeform,imgslide_1_S6_IMAGE_TEXT_CONTRADICTION_1_0003__freeform__CLEAN,a,b
S6_IMAGE_TEXT_CONTRADICTION,A,paired,imgslide_9_S6_IMAGE_TEXT_CONTRADICTION_1_0011__freeform,imgslide_9_S6_IMAGE_TEXT_CONTRADICTION_1_0011__freeform__CLEAN,a,b
S6_IMAGE_TEXT_CONTRADICTION,A,paired,imgslide_0_S6_IMAGE_TEXT_CONTRADICTION_1_0002__freeform,imgslide_0_S6_IMAGE_TEXT_CONTRADICTION_1_0002__freeform__CLEAN,a,b
S6_IMAGE_TEXT_CONTRADICTION,A,paired,imgslide_4_S6_IMAGE_TEXT_CONTRADICTION_1_0006__freeform,imgslide_4_S6_IMAGE_TEXT_CONTRADICTION_1_0006__freeform__CLEAN,a,b
S6_IMAGE_TEXT_CONTRADICTION,A,paired,imgslide_11_S6_IMAGE_TEXT_CONTRADICTION_1_0001__freeform,imgslide_11_S6_IMAGE_TEXT_CONTRADICTION_1_0001__freeform__CLEAN,a,b
S6_IMAGE_TEXT_CONTRADICTION,A,paired,imgslide_5_S6_IMAGE_TEXT_CONTRADICTION_1_0007__freeform,imgslide_5_S6_IMAGE_TEXT_CONTRADICTION_1_0007__freeform__CLEAN,a,b
S6_IMAGE_TEXT_CONTRADICTION,A,paired,imgslide_2_S6_IMAGE_TEXT_CONTRADICTION_1_0004__freeform,imgslide_2_S6_IMAGE_TEXT_CONTRADICTION_1_0004__freeform__CLEAN,a,b
S6_IMAGE_TEXT_CONTRADICTION,A,paired,imgslide_6_S6_IMAGE_TEXT_CONTRADICTION_1_0008__freeform,imgslide_6_S6_IMAGE_TEXT_CONTRADICTION_1_0008__freeform__CLEAN,a,b
S6_IMAGE_TEXT_CONTRADICTION,A,paired,imgslide_3_S6_IMAGE_TEXT_CONTRADICTION_1_0005__freeform,imgslide_3_S6_IMAGE_TEXT_CONTRADICTION_1_0005__freeform__CLEAN,a,b
S6_IMAGE_TEXT_CONTRADICTION,A,paired,imgslide_8_S6_IMAGE_TEXT_CONTRADICTION_1_0010__freeform,imgslide_8_S6_IMAGE_TEXT_CONTRADICTION_1_0010__freeform__CLEAN,a,b
S6_IMAGE_TEXT_CONTRADICTION,A,paired,imgslide_7_S6_IMAGE_TEXT_CONTRADICTION_1_0009__freeform,imgslide_7_S6_IMAGE_TEXT_CONTRADICTION_1_0009__freeform__CLEAN,a,b
S6_IMAGE_TEXT_CONTRADICTION,A,paired,imgslide_10_S6_IMAGE_TEXT_CONTRADICTION_1_0000__freeform,imgslide_10_S6_IMAGE_TEXT_CONTRADICTION_1_0000__freeform__CLEAN,a,b
