sample_id,defect,modality,is_clean,failure,present,localized,repair_ok,evidence_element,raw
f84df5643d99a205e6b6508baea351a5-GONNET_Research__s31__G2_ELEMENT_OVERLAP,G2_ELEMENT_OVERLAP,B,True,False,False,False,False,,"{""present"": false, ""evidence_element"": """", ""evidence_region"": ""empty"", ""fix"": """", ""confidence"": 0.95}"
f84df5643d99a205e6b6508baea351a5-GONNET_Research__s31__G2_ELEMENT_OVERLAP,G2_ELEMENT_OVERLAP,B,False,False,False,False,False,,"{""present"": false, ""evidence_element"": """", ""evidence_region"": ""empty"", ""fix"": """", ""confidence"": 0.95}"
f84df5643d99a205e6b6508baea351a5-GONNET_Research__s31__G2_ELEMENT_OVERLAP,G2_ELEMENT_OVERLAP,C,True,False,False,False,False,,"{
  ""present"": false,
  ""evidence_element"": """",
  ""evidence_region"": ""empty"",
  ""fix"": """",
  ""confidence"": 1.0
}"
f84df5643d99a205e6b6508baea351a5-GONNET_Research__s31__G2_ELEMENT_OVERLAP,G2_ELEMENT_OVERLAP,A,True,False,False,False,False,,"```json
{
""present"": false,
""evidence_element"": """",
""evidence_region"": ""empty"",
""fix"": """",
""confidence"": 1.0
}
```"
f84df5643d99a205e6b6508baea351a5-GONNET_Research__s5__G3_ALIGNMENT_OFFSET,G3_ALIGNMENT_OFFSET,A,False,False,False,False,False,,"```json
{
  ""present"": false,
  ""evidence_element"": """",
  ""evidence_region"": ""empty"",
  ""fix"": """",
  ""confidence"": 0.95
}
```"
f84df5643d99a205e6b6508baea351a5-GONNET_Research__s31__G2_ELEMENT_OVERLAP,G2_ELEMENT_OVERLAP,A,False,False,True,True,True,The red text 'Titre de la présentation' overlaps with the blue DOI/URL text.,"```json
{
  ""present"": true,
  ""evidence_element"": ""The red text 'Titre de la présentation' overlaps with the blue DOI/URL text."",
  ""evidence_region"": ""center"",
  ""fix"": ""Remove the red text 'Titre de la présentation' or reposition it so it does not cover the URL."",
  ""confidence"": 1.0
}
```"
f84df5643d99a205e6b6508baea351a5-GONNET_Research__s31__G2_ELEMENT_OVERLAP,G2_ELEMENT_OVERLAP,C,False,False,True,True,False,The text 'Titre de la présentation' (shp3) is drawn on top of the blue hyperlink text in the image (shp5).,"{
""present"": true,
""evidence_element"": ""The text 'Titre de la présentation' (shp3) is drawn on top of the blue hyperlink text in the image (shp5)."",
""evidence_region"": ""center"",
""fix"": ""Delete the text box containing 'Titre de la présentation' or reposition it to an empty area of the slide."",
""confi"
f84df5643d99a205e6b6508baea351a5-GONNET_Research__s5__G3_ALIGNMENT_OFFSET,G3_ALIGNMENT_OFFSET,B,False,False,True,False,True,shp4 (text: 'Titre de la présentation'),"{""present"": true, ""evidence_element"": ""shp4 (text: 'Titre de la présentation')"", ""evidence_region"": ""bottom-left"", ""fix"": ""Align the left edge of shp4 with the left edge of shp3 (x=367.5) to match the column alignment of the body text."", ""confidence"": 0.95}"
f84df5643d99a205e6b6508baea351a5-GONNET_Research__s5__G3_ALIGNMENT_OFFSET,G3_ALIGNMENT_OFFSET,B,True,False,True,False,True,shp4 (text: 'Titre de la présentation'),"{""present"": true, ""evidence_element"": ""shp4 (text: 'Titre de la présentation')"", ""evidence_region"": ""bottom-left"", ""fix"": ""Move the element horizontally to align its left edge with the left edge of shp3 (x=385.5) or vertically to align with the main content baseline."", ""confidence"": 0.85}"
f84df5643d99a205e6b6508baea351a5-GONNET_Research__s5__G3_ALIGNMENT_OFFSET,G3_ALIGNMENT_OFFSET,C,False,False,False,False,False,,"```json
{
""present"": false,
""evidence_element"": """",
""evidence_region"": ""empty"",
""fix"": """",
""confidence"": 0.95
}
```"
f84df5643d99a205e6b6508baea351a5-GONNET_Research__s5__G3_ALIGNMENT_OFFSET,G3_ALIGNMENT_OFFSET,C,True,False,False,False,False,,"```json
{
""present"": false,
""evidence_element"": """",
""evidence_region"": ""empty"",
""fix"": """",
""confidence"": 0.95
}
```"
f84df5643d99a205e6b6508baea351a5-GONNET_Research__s5__G3_ALIGNMENT_OFFSET,G3_ALIGNMENT_OFFSET,A,True,False,True,False,True,The page number '1' in the bottom-left corner is vertically misaligned with the presentation title 'Titre de la présentation' in the bottom-center; the number is positioned significantly higher than the text baseline of the title.,"```json
{
  ""present"": true,
  ""evidence_element"": ""The page number '1' in the bottom-left corner is vertically misaligned with the presentation title 'Titre de la présentation' in the bottom-center; the number is positioned significantly higher than the text baseline of the title."",
  ""evidence_reg"
65b9f618e026be90484c974a204ae812-04_Ivanovic_Mla__s4__G1_TEXT_OVERFLOW,G1_TEXT_OVERFLOW,A,True,False,False,False,False,,"{
""present"": false,
""evidence_element"": """",
""evidence_region"": ""empty"",
""fix"": """",
""confidence"": 1.0
}"
