sample_id,defect,modality,is_clean,failure,present,localized,repair_ok,evidence_element,raw
f84df5643d99a205e6b6508baea351a5-GONNET_Research__s23__G3_ALIGNMENT_OFFSET,G3_ALIGNMENT_OFFSET,B,True,False,False,False,False,,"{""present"": false, ""evidence_element"": """", ""evidence_region"": ""empty"", ""fix"": """", ""confidence"": 0.95}"
f84df5643d99a205e6b6508baea351a5-GONNET_Research__s23__G3_ALIGNMENT_OFFSET,G3_ALIGNMENT_OFFSET,B,False,False,False,False,False,,"{""present"": false, ""evidence_element"": """", ""evidence_region"": ""empty"", ""fix"": """", ""confidence"": 0.95}"
5aed46f009ac84854c5c1cebd08f867d-DASH_Presentati__s7__G3_ALIGNMENT_OFFSET,G3_ALIGNMENT_OFFSET,A,True,False,False,False,False,,"```json
{
  ""present"": false,
  ""evidence_element"": """",
  ""evidence_region"": ""empty"",
  ""fix"": """",
  ""confidence"": 0.95
}
```"
f84df5643d99a205e6b6508baea351a5-GONNET_Research__s23__G3_ALIGNMENT_OFFSET,G3_ALIGNMENT_OFFSET,C,True,False,False,False,False,,"```json
{
""present"": false,
""evidence_element"": """",
""evidence_region"": ""empty"",
""fix"": """",
""confidence"": 0.95
}
```"
f84df5643d99a205e6b6508baea351a5-GONNET_Research__s23__G3_ALIGNMENT_OFFSET,G3_ALIGNMENT_OFFSET,C,False,False,False,False,False,,"```json
{
""present"": false,
""evidence_element"": """",
""evidence_region"": ""empty"",
""fix"": """",
""confidence"": 0.95
}
```"
5aed46f009ac84854c5c1cebd08f867d-DASH_Presentati__s7__G3_ALIGNMENT_OFFSET,G3_ALIGNMENT_OFFSET,B,False,False,False,False,False,,"{""present"": false, ""evidence_element"": """", ""evidence_region"": ""empty"", ""fix"": """", ""confidence"": 0.95}"
f84df5643d99a205e6b6508baea351a5-GONNET_Research__s23__G3_ALIGNMENT_OFFSET,G3_ALIGNMENT_OFFSET,A,False,False,True,False,True,The 'Community standards' tile in the bottom-right corner of the grid,"```json
{
  ""present"": true,
  ""evidence_element"": ""The 'Community standards' tile in the bottom-right corner of the grid"",
  ""evidence_region"": ""bottom-right"",
  ""fix"": ""Move the 'Community standards' tile to the left so it aligns with the 'Provenance' tile and completes the 4x5 grid structure."",
 "
f84df5643d99a205e6b6508baea351a5-GONNET_Research__s23__G3_ALIGNMENT_OFFSET,G3_ALIGNMENT_OFFSET,A,True,False,True,False,True,The 'Community standards' tile in the bottom-right corner of the grid,"```json
{
  ""present"": true,
  ""evidence_element"": ""The 'Community standards' tile in the bottom-right corner of the grid"",
  ""evidence_region"": ""bottom-right"",
  ""fix"": ""Move the 'Community standards' tile to the left so it aligns with the start of the 'Provenance' tile and the other tiles in the f"
5aed46f009ac84854c5c1cebd08f867d-DASH_Presentati__s7__G3_ALIGNMENT_OFFSET,G3_ALIGNMENT_OFFSET,B,True,False,False,False,False,,"{""present"": false, ""evidence_element"": """", ""evidence_region"": ""empty"", ""fix"": """", ""confidence"": 0.95}"
5aed46f009ac84854c5c1cebd08f867d-DASH_Presentati__s7__G3_ALIGNMENT_OFFSET,G3_ALIGNMENT_OFFSET,A,False,False,True,False,True,The 'Purpose' text block inside the third column's top box (under 'CCORBase') is vertically misaligned compared to the 'Purpose' headers in the adjacent boxes.,"```json
{
  ""present"": true,
  ""evidence_element"": ""The 'Purpose' text block inside the third column's top box (under 'CCORBase') is vertically misaligned compared to the 'Purpose' headers in the adjacent boxes."",
  ""evidence_region"": ""center"",
  ""fix"": ""Vertically center the 'Purpose' text within t"
5aed46f009ac84854c5c1cebd08f867d-DASH_Presentati__s7__G3_ALIGNMENT_OFFSET,G3_ALIGNMENT_OFFSET,C,False,False,False,False,False,,"{
""present"": false,
""evidence_element"": """",
""evidence_region"": ""empty"",
""fix"": """",
""confidence"": 0.95
}"
5aed46f009ac84854c5c1cebd08f867d-DASH_Presentati__s7__G3_ALIGNMENT_OFFSET,G3_ALIGNMENT_OFFSET,C,True,False,False,False,False,,"{
""present"": false,
""evidence_element"": """",
""evidence_region"": ""empty"",
""fix"": """",
""confidence"": 0.95
}"
5aa2630262e54a49db5680970f332b05-2024-05-Etapes___s24__G3_ALIGNMENT_OFFSET,G3_ALIGNMENT_OFFSET,A,False,False,False,False,False,,"```json
{
  ""present"": false,
  ""evidence_element"": """",
  ""evidence_region"": ""empty"",
  ""fix"": """",
  ""confidence"": 1.0
}
```"
5aa2630262e54a49db5680970f332b05-2024-05-Etapes___s24__G3_ALIGNMENT_OFFSET,G3_ALIGNMENT_OFFSET,A,True,False,False,False,False,,"```json
{
  ""present"": false,
  ""evidence_element"": """",
  ""evidence_region"": ""empty"",
  ""fix"": """",
  ""confidence"": 1.0
}
```"
