sample_id,defect,modality,is_clean,failure,has_defect,named_target,predicted_types,locator,confidence,other,raw,level
part2_churn_prediction_1_G6_MARGIN_VIOLATION_0_0000__freeform,G6_MARGIN_VIOLATION,A,False,False,True,True,"[""G6_MARGIN_VIOLATION""]","{""element"":""the title and the three bullet point text blocks"",""region"":""left""}",0.95,[],"```json
{
  ""present"": true,
  ""evidence_element"": ""the title and the three bullet point text blocks"",
  ""evidence_region"": ""left"",
  ""confidence"": 0.95
}
```",page
part2_clinical_triage_1_G6_MARGIN_VIOLATION_0_0005__freeform,G6_MARGIN_VIOLATION,A,False,False,True,True,"[""G6_MARGIN_VIOLATION""]","{""element"":""the entire list of phase items and the title"",""region"":""left""}",1.0,[],"```json
{
  ""present"": true,
  ""evidence_element"": ""the entire list of phase items and the title"",
  ""evidence_region"": ""left"",
  ""confidence"": 1.0
}
```",page
part2_churn_prediction_2_G6_MARGIN_VIOLATION_0_0001__freeform,G6_MARGIN_VIOLATION,A,False,False,True,True,"[""G6_MARGIN_VIOLATION""]","{""element"":""the title and the three text boxes below it"",""region"":""left""}",1.0,[],"```json
{
  ""present"": true,
  ""evidence_element"": ""the title and the three text boxes below it"",
  ""evidence_region"": ""left"",
  ""confidence"": 1.0
}
```",page
part2_churn_prediction_3_G6_MARGIN_VIOLATION_0_0002__freeform,G6_MARGIN_VIOLATION,A,False,False,True,True,"[""G6_MARGIN_VIOLATION""]","{""element"":""the title and the three bullet point text blocks"",""region"":""left""}",1.0,[],"```json
{
  ""present"": true,
  ""evidence_element"": ""the title and the three bullet point text blocks"",
  ""evidence_region"": ""left"",
  ""confidence"": 1.0
}
```",page
part2_churn_prediction_4_G6_MARGIN_VIOLATION_0_0003__freeform,G6_MARGIN_VIOLATION,A,False,False,True,True,"[""G6_MARGIN_VIOLATION""]","{""element"":""the title 'Rolling RetainML into CRM' and the three bullet point boxes"",""region"":""left""}",0.95,[],"```json
{
  ""present"": true,
  ""evidence_element"": ""the title 'Rolling RetainML into CRM' and the three bullet point boxes"",
  ""evidence_region"": ""left"",
  ""confidence"": 0.95
}
```",page
part2_churn_prediction_5_G6_MARGIN_VIOLATION_0_0004__freeform,G6_MARGIN_VIOLATION,A,False,False,True,True,"[""G6_MARGIN_VIOLATION""]","{""element"":""the title 'What RetainML needs to ship' and the three list items below it"",""region"":""left""}",0.95,[],"```json
{
  ""present"": true,
  ""evidence_element"": ""the title 'What RetainML needs to ship' and the three list items below it"",
  ""evidence_region"": ""left"",
  ""confidence"": 0.95
}
```",page
part2_clinical_triage_3_G6_MARGIN_VIOLATION_0_0007__freeform,G6_MARGIN_VIOLATION,A,False,False,True,True,"[""G6_MARGIN_VIOLATION""]","{""element"":""the entire text block including the title and list items"",""region"":""left""}",1.0,[],"```json
{
  ""present"": true,
  ""evidence_element"": ""the entire text block including the title and list items"",
  ""evidence_region"": ""left"",
  ""confidence"": 1.0
}
```",page
part2_clinical_triage_5_G6_MARGIN_VIOLATION_0_0009__freeform,G6_MARGIN_VIOLATION,A,False,False,True,True,"[""G6_MARGIN_VIOLATION""]","{""element"":""the title and the three bullet point text blocks"",""region"":""left""}",0.95,[],"```json
{
  ""present"": true,
  ""evidence_element"": ""the title and the three bullet point text blocks"",
  ""evidence_region"": ""left"",
  ""confidence"": 0.95
}
```",page
part2_clinical_triage_2_G6_MARGIN_VIOLATION_0_0006__freeform,G6_MARGIN_VIOLATION,A,False,False,True,True,"[""G6_MARGIN_VIOLATION""]","{""element"":""the title 'Why triage is the bottleneck' and the three list items below it"",""region"":""left""}",0.95,[],"```json
{
  ""present"": true,
  ""evidence_element"": ""the title 'Why triage is the bottleneck' and the three list items below it"",
  ""evidence_region"": ""left"",
  ""confidence"": 0.95
}
```",page
part2_clinical_triage_4_G6_MARGIN_VIOLATION_0_0008__freeform,G6_MARGIN_VIOLATION,A,False,False,True,True,"[""G6_MARGIN_VIOLATION""]","{""element"":""the title 'TriageAI impact on wait times' and the three list items below it"",""region"":""left""}",1.0,[],"```json
{
  ""present"": true,
  ""evidence_element"": ""the title 'TriageAI impact on wait times' and the three list items below it"",
  ""evidence_region"": ""left"",
  ""confidence"": 1.0
}
```",page
