sample_id,defect,modality,is_clean,failure,has_defect,named_target,predicted_types,locator,confidence,other,raw,level
part2_contract_review_3_G3_ALIGNMENT_OFFSET_16_0002__freeform,G3_ALIGNMENT_OFFSET,A,False,False,True,False,"[""S1_TITLE_BODY_MISMATCH""]",,,[],"{""has_defect"": true, ""findings"": [{""type"": ""S1_TITLE_BODY_MISMATCH"", ""severity"": ""moderate"", ""locator"": {""level"": ""page"", ""page_id"": ""part2_contract_review_3"", ""element_id"": null, ""related_page_ids"": []}, ""evidence"": ""The title mentions 'pilot accuracy', but the body content discusses toil reduction, adoption rates, and payback periods, which are efficiency and ROI metrics, not accuracy metrics."",",page
part2_contract_review_3_G3_ALIGNMENT_OFFSET_2_0002__freeform,G3_ALIGNMENT_OFFSET,A,False,False,True,False,"[""S1_TITLE_BODY_MISMATCH""]",,,[],"{""has_defect"": true, ""findings"": [{""type"": ""S1_TITLE_BODY_MISMATCH"", ""severity"": ""moderate"", ""locator"": {""level"": ""page"", ""page_id"": ""part2_contract_review_3"", ""element_id"": null, ""related_page_ids"": []}, ""evidence"": ""The title 'ClauseScan pilot accuracy' suggests data about accuracy rates, but the body content discusses toil reduction, adoption frequency, and payback period."", ""fix_suggestion"": """,page
part2_contract_review_2_G3_ALIGNMENT_OFFSET_2_0001__freeform,G3_ALIGNMENT_OFFSET,A,False,False,True,False,"[""S1_TITLE_BODY_MISMATCH""]",,,[],"{""has_defect"": true, ""findings"": [{""type"": ""S1_TITLE_BODY_MISMATCH"", ""severity"": ""severe"", ""locator"": {""level"": ""page"", ""page_id"": ""part2_contract_review_2"", ""element_id"": null, ""related_page_ids"": []}, ""evidence"": ""The title 'ClauseScan flags risky clauses' describes a software function, but the body content consists of project management tasks (budget approval, engineer assignment, cutover windo",page
part2_contract_review_2_G3_ALIGNMENT_OFFSET_16_0001__freeform,G3_ALIGNMENT_OFFSET,A,False,False,True,False,"[""S1_TITLE_BODY_MISMATCH""]",,,[],"{""has_defect"": true, ""findings"": [{""type"": ""S1_TITLE_BODY_MISMATCH"", ""severity"": ""severe"", ""locator"": {""level"": ""page"", ""page_id"": ""part2_contract_review_2"", ""element_id"": null, ""related_page_ids"": []}, ""evidence"": ""The title 'ClauseScan flags risky clauses' describes a software function, but the body content consists of project management tasks (budget approval, engineer assignment, cutover windo",page
part2_contract_review_4_G3_ALIGNMENT_OFFSET_16_0003__freeform,G3_ALIGNMENT_OFFSET,A,False,False,False,False,[],,,[],"{""has_defect"": false, ""findings"": []}",page
part2_contract_review_4_G3_ALIGNMENT_OFFSET_2_0003__freeform,G3_ALIGNMENT_OFFSET,A,False,False,False,False,[],,,[],"{""has_defect"": false, ""findings"": []}",page
part2_contract_review_1_G3_ALIGNMENT_OFFSET_2_0000__freeform,G3_ALIGNMENT_OFFSET,A,False,False,True,False,"[""S1_TITLE_BODY_MISMATCH""]",,,[],"{""has_defect"": true, ""findings"": [{""type"": ""S1_TITLE_BODY_MISMATCH"", ""severity"": ""severe"", ""locator"": {""level"": ""page"", ""page_id"": ""part2_contract_review_1"", ""element_id"": null, ""related_page_ids"": []}, ""evidence"": ""The title 'Manual contract review is slow' describes a problem, but the body content lists technical deployment strategies (shadow traffic, automated rollback, latency dashboards) whic",page
part2_contract_review_1_G3_ALIGNMENT_OFFSET_16_0000__freeform,G3_ALIGNMENT_OFFSET,A,False,False,True,False,"[""S1_TITLE_BODY_MISMATCH""]",,,[],"{""has_defect"": true, ""findings"": [{""type"": ""S1_TITLE_BODY_MISMATCH"", ""severity"": ""severe"", ""locator"": {""level"": ""page"", ""page_id"": ""part2_contract_review_1"", ""element_id"": null, ""related_page_ids"": []}, ""evidence"": ""The title 'Manual contract review is slow' describes a problem, but the body content describes technical deployment strategies (shadow traffic, automated rollback, latency dashboards) ",page
part2_customer_support_ai_2_G3_ALIGNMENT_OFFSET_16_0006__freeform,G3_ALIGNMENT_OFFSET,A,False,False,False,False,[],,,[],"{""has_defect"": false, ""findings"": []}",page
part2_customer_support_ai_2_G3_ALIGNMENT_OFFSET_2_0006__freeform,G3_ALIGNMENT_OFFSET,A,False,False,False,False,[],,,[],"{""has_defect"": false, ""findings"": []}",page
