sample_id,defect,modality,is_clean,failure,has_defect,named_target,predicted_types,locator,confidence,other,raw,level
part2_churn_prediction_3_G6_MARGIN_VIOLATION_0_0002__freeform,G6_MARGIN_VIOLATION,A,False,False,False,False,[],,,[],"{""has_defect"": false, ""findings"": []}",page
part2_churn_prediction_4_G6_MARGIN_VIOLATION_0_0003__freeform,G6_MARGIN_VIOLATION,A,False,False,False,False,[],,,[],"{""has_defect"": false, ""findings"": []}",page
part2_churn_prediction_5_G6_MARGIN_VIOLATION_0_0004__freeform,G6_MARGIN_VIOLATION,A,False,False,False,False,[],,,[],"{""has_defect"": false, ""findings"": []}",page
part2_churn_prediction_2_G6_MARGIN_VIOLATION_0_0001__freeform,G6_MARGIN_VIOLATION,A,False,False,True,False,"[""G3_ALIGNMENT_OFFSET""]",,,[],"{""has_defect"": true, ""findings"": [{""type"": ""G3_ALIGNMENT_OFFSET"", ""severity"": ""minor"", ""locator"": {""level"": ""page"", ""page_id"": ""part2_churn_prediction_2"", ""element_id"": null, ""related_page_ids"": []}, ""evidence"": ""The title 'How RetainML predicts churn' is not aligned with the left edge of the body text boxes."", ""fix_suggestion"": ""Align the title text to the left margin to match the body content bo",page
part2_clinical_triage_5_G6_MARGIN_VIOLATION_0_0009__freeform,G6_MARGIN_VIOLATION,A,False,False,False,False,[],,,[],"{""has_defect"": false, ""findings"": []}",page
part2_churn_prediction_1_G6_MARGIN_VIOLATION_0_0000__freeform,G6_MARGIN_VIOLATION,A,False,False,True,False,"[""S1_TITLE_BODY_MISMATCH""]",,,[],"{""has_defect"": true, ""findings"": [{""type"": ""S1_TITLE_BODY_MISMATCH"", ""severity"": ""moderate"", ""locator"": {""level"": ""page"", ""page_id"": ""part2_churn_prediction_1"", ""element_id"": null, ""related_page_ids"": []}, ""evidence"": ""The title 'Churn is quietly compounding' describes a problem, but the body text lists benefits/value propositions of 'RetainML' (reducing toil, daily adoption, payback period), crea",page
part2_clinical_triage_1_G6_MARGIN_VIOLATION_0_0005__freeform,G6_MARGIN_VIOLATION,A,False,False,True,False,"[""S1_TITLE_BODY_MISMATCH""]",,,[],"{""has_defect"": true, ""findings"": [{""type"": ""S1_TITLE_BODY_MISMATCH"", ""severity"": ""severe"", ""locator"": {""level"": ""page"", ""page_id"": ""part2_clinical_triage_1"", ""element_id"": null, ""related_page_ids"": []}, ""evidence"": ""The title 'ER wait times keep rising' describes a problem, but the body content lists a 5-phase technical implementation plan for 'TriageAI', creating a logical disconnect between the ",page
part2_clinical_triage_3_G6_MARGIN_VIOLATION_0_0007__freeform,G6_MARGIN_VIOLATION,A,False,False,True,False,"[""S1_TITLE_BODY_MISMATCH""]",,,[],"{""has_defect"": true, ""findings"": [{""type"": ""S1_TITLE_BODY_MISMATCH"", ""severity"": ""severe"", ""locator"": {""level"": ""page"", ""page_id"": ""part2_clinical_triage_3"", ""element_id"": null, ""related_page_ids"": []}, ""evidence"": ""The title 'TriageAI prioritizes acuity' discusses clinical prioritization, but the body content describes technical deployment strategies (shadow traffic, automated rollback, latency d",page
part2_clinical_triage_4_G6_MARGIN_VIOLATION_0_0008__freeform,G6_MARGIN_VIOLATION,A,False,False,True,False,"[""S1_TITLE_BODY_MISMATCH""]",,,[],"{""has_defect"": true, ""findings"": [{""type"": ""S1_TITLE_BODY_MISMATCH"", ""severity"": ""severe"", ""locator"": {""level"": ""page"", ""page_id"": ""part2_clinical_triage_4"", ""element_id"": null, ""related_page_ids"": []}, ""evidence"": ""The title 'TriageAI impact on wait times' suggests a report on performance or results, but the body contains a list of administrative action items (budget approval, staffing, and freez",page
part2_clinical_triage_2_G6_MARGIN_VIOLATION_0_0006__freeform,G6_MARGIN_VIOLATION,A,False,False,True,False,"[""S1_TITLE_BODY_MISMATCH""]",,,[],"{""has_defect"": true, ""findings"": [{""type"": ""S1_TITLE_BODY_MISMATCH"", ""severity"": ""severe"", ""locator"": {""level"": ""page"", ""page_id"": ""part2_clinical_triage_2"", ""element_id"": null, ""related_page_ids"": []}, ""evidence"": ""The title asks 'Why triage is the bottleneck', but the body content lists a timeline of milestones (Q1, Q2, Q3) rather than explaining the reasons for the bottleneck."", ""fix_suggestion",page
part2_contract_review_4_G6_MARGIN_VIOLATION_16_0003__freeform,G6_MARGIN_VIOLATION,A,False,False,False,False,[],,,[],"{""has_defect"": false, ""findings"": []}",page
part2_customer_support_ai_2_G6_MARGIN_VIOLATION_16_0006__freeform,G6_MARGIN_VIOLATION,A,False,False,False,False,[],,,[],"{""has_defect"": false, ""findings"": []}",page
part2_customer_support_ai_3_G6_MARGIN_VIOLATION_16_0007__freeform,G6_MARGIN_VIOLATION,A,False,False,False,False,[],,,[],"{""has_defect"": false, ""findings"": []}",page
part2_customer_support_ai_4_G6_MARGIN_VIOLATION_16_0008__freeform,G6_MARGIN_VIOLATION,A,False,False,False,False,[],,,[],"{""has_defect"": false, ""findings"": []}",page
part2_customer_support_ai_5_G6_MARGIN_VIOLATION_16_0009__freeform,G6_MARGIN_VIOLATION,A,False,False,False,False,[],,,[],"{""has_defect"": false, ""findings"": []}",page
part2_contract_review_1_G6_MARGIN_VIOLATION_16_0000__freeform,G6_MARGIN_VIOLATION,A,False,False,True,False,"[""S1_TITLE_BODY_MISMATCH""]",,,[],"{""has_defect"": true, ""findings"": [{""type"": ""S1_TITLE_BODY_MISMATCH"", ""severity"": ""severe"", ""locator"": {""level"": ""page"", ""page_id"": ""part2_contract_review_1"", ""element_id"": null, ""related_page_ids"": []}, ""evidence"": ""The title 'Manual contract review is slow' describes a problem, but the body content lists technical deployment strategies (shadow traffic, automated rollback, dashboards) which are un",page
part2_contract_review_2_G6_MARGIN_VIOLATION_16_0001__freeform,G6_MARGIN_VIOLATION,A,False,False,True,False,"[""S1_TITLE_BODY_MISMATCH""]",,,[],"{""has_defect"": true, ""findings"": [{""type"": ""S1_TITLE_BODY_MISMATCH"", ""severity"": ""severe"", ""locator"": {""level"": ""page"", ""page_id"": ""part2_contract_review_2"", ""element_id"": null, ""related_page_ids"": []}, ""evidence"": ""The title 'ClauseScan flags risky clauses' describes a software function, but the body content consists of project management action items (budget approval, staffing, and cutover windo",page
part2_contract_review_3_G6_MARGIN_VIOLATION_16_0002__freeform,G6_MARGIN_VIOLATION,A,False,False,True,False,"[""S1_TITLE_BODY_MISMATCH""]",,,[],"{""has_defect"": true, ""findings"": [{""type"": ""S1_TITLE_BODY_MISMATCH"", ""severity"": ""moderate"", ""locator"": {""level"": ""page"", ""page_id"": ""part2_contract_review_3"", ""element_id"": null, ""related_page_ids"": []}, ""evidence"": ""The title 'ClauseScan pilot accuracy' refers to accuracy metrics, but the body content lists business outcomes (toil reduction, adoption rate, and payback period) which are not accur",page
part2_doc_search_2_G6_MARGIN_VIOLATION_32_0001__freeform,G6_MARGIN_VIOLATION,A,False,False,False,False,[],,,[],"{""has_defect"": false, ""findings"": []}",page
