sample_id,defect,modality,is_clean,failure,has_defect,named_target,predicted_types,locator,confidence,other,raw,level
g7_card_height_000,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,False,False,[],,,[],"{""has_defect"": false, ""findings"": []}",page
g7_card_height_003,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,False,False,[],,,[],"{
  ""has_defect"": false,
  ""findings"": []
}",page
g7_card_height_006,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,False,False,[],,,[],"{""has_defect"": false, ""findings"": []}",page
g7_card_height_010,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,False,False,[],,,[],"{
  ""has_defect"": false,
  ""findings"": []
}",page
g7_card_height_009,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,False,False,[],,,[],"{
  ""has_defect"": false,
  ""findings"": []
}",page
g7_card_height_008,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,False,False,[],,,[],"{
  ""has_defect"": false,
  ""findings"": []
}",page
g7_card_height_007,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,False,False,[],,,[],"{
  ""has_defect"": false,
  ""findings"": []
}",page
g7_card_height_004,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,False,False,[],,,[],"{
  ""has_defect"": false,
  ""findings"": []
}",page
g7_card_height_001,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,False,False,[],,,[],"{""has_defect"": false, ""findings"": []}",page
g7_card_height_005,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,False,False,[],,,[],"{
  ""has_defect"": false,
  ""findings"": []
}",page
g7_card_height_011,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,False,False,[],,,[],"{
  ""has_defect"": false,
  ""findings"": []
}",page
g7_card_height_012,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,False,False,[],,,[],"{
  ""has_defect"": false,
  ""findings"": []
}",page
g7_card_height_013,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,False,False,[],,,[],"{""has_defect"": false, ""findings"": []}",page
g7_card_height_014,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,False,False,[],,,[],"{""has_defect"": false, ""findings"": []}",page
g7_card_height_017,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,False,False,[],,,[],"{""has_defect"": false, ""findings"": []}",page
g7_card_height_016,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,False,False,[],,,[],"{
  ""has_defect"": false,
  ""findings"": []
}",page
g7_card_height_015,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,False,False,[],,,[],"{
  ""has_defect"": false,
  ""findings"": []
}",page
g7_card_height_018,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,False,False,[],,,[],"{
  ""has_defect"": false,
  ""findings"": []
}",page
g7_card_height_019,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,False,False,[],,,[],"{
  ""has_defect"": false,
  ""findings"": []
}",page
g7_card_height_020,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,False,False,[],,,[],"{
  ""has_defect"": false,
  ""findings"": []
}",page
g7_card_height_022,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,False,False,[],,,[],"{""has_defect"": false, ""findings"": []}",page
g7_card_height_021,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,False,False,[],,,[],"{
  ""has_defect"": false,
  ""findings"": []
}",page
g7_card_height_023,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,False,False,[],,,[],"{
  ""has_defect"": false,
  ""findings"": []
}",page
g7_card_height_024,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,False,False,[],,,[],"{
  ""has_defect"": false,
  ""findings"": []
}",page
g7_card_height_026,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,False,False,[],,,[],"{
  ""has_defect"": false,
  ""findings"": []
}",page
g7_card_height_028,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,False,False,[],,,[],"{
  ""has_defect"": false,
  ""findings"": []
}",page
g7_card_height_027,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,False,False,[],,,[],"{
  ""has_defect"": false,
  ""findings"": []
}",page
g7_card_height_029,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,False,False,[],,,[],"{
  ""has_defect"": false,
  ""findings"": []
}",page
g7_unbreakable_text_002,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,False,False,[],,,[],"{
  ""has_defect"": false,
  ""findings"": []
}",page
g7_unbreakable_text_003,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,False,False,[],,,[],"{""has_defect"": false, ""findings"": []}",page
g7_unbreakable_text_006,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,False,False,[],,,[],"{
  ""has_defect"": false,
  ""findings"": []
}",page
g7_unbreakable_text_000,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,True,False,"[""G1_TEXT_OVERFLOW""]",,,[],"{
  ""has_defect"": true,
  ""findings"": [
    {
      ""type"": ""G1_TEXT_OVERFLOW"",
      ""severity"": ""severe"",
      ""locator"": {
        ""level"": ""page"",
        ""page_id"": ""g7_unbreakable_text_000"",
        ""element_id"": null,
        ""related_page_ids"": []
      },
      ""evidence"": ""The text 'https://portal.enterprise-customer.example.com/onboarding/2' overflows beyond the bounds of its box."",
  ",page
g7_unbreakable_text_001,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,True,False,"[""G1_TEXT_OVERFLOW""]",,,[],"{
  ""has_defect"": true,
  ""findings"": [
    {
      ""type"": ""G1_TEXT_OVERFLOW"",
      ""severity"": ""severe"",
      ""locator"": {
        ""level"": ""page"",
        ""page_id"": ""g7_unbreakable_text_001"",
        ""element_id"": null,
        ""related_page_ids"": []
      },
      ""evidence"": ""The text 'https://portal.enterprise-customer.example.com/onboarding/' overflows beyond the bounds of its box."",
   ",page
g7_unbreakable_text_005,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,True,False,"[""G1_TEXT_OVERFLOW""]",,,[],"{
  ""has_defect"": true,
  ""findings"": [
    {
      ""type"": ""G1_TEXT_OVERFLOW"",
      ""severity"": ""severe"",
      ""locator"": {
        ""level"": ""page"",
        ""page_id"": ""g7_unbreakable_text_005"",
        ""element_id"": null,
        ""related_page_ids"": []
      },
      ""evidence"": ""The text 'https://portal.enterprise-customer.example.com/onboarding/2' overflows beyond the bounds of its box."",
  ",page
g7_unbreakable_text_013,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,False,False,[],,,[],"{
  ""has_defect"": false,
  ""findings"": []
}",page
g7_unbreakable_text_014,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,False,False,[],,,[],"{
  ""has_defect"": false,
  ""findings"": []
}",page
