defect,modality,mode,probe_id,partner_id,pick_order0,pick_order1
G6_MARGIN_VIOLATION,A,paired,part2_churn_prediction_1_G6_MARGIN_VIOLATION_0_0000__freeform,part2_churn_prediction_1_G6_MARGIN_VIOLATION_0_0000__freeform__CLEAN,tie,tie
G6_MARGIN_VIOLATION,A,paired,part2_churn_prediction_4_G6_MARGIN_VIOLATION_0_0003__freeform,part2_churn_prediction_4_G6_MARGIN_VIOLATION_0_0003__freeform__CLEAN,a,tie
G6_MARGIN_VIOLATION,A,paired,part2_churn_prediction_5_G6_MARGIN_VIOLATION_0_0004__freeform,part2_churn_prediction_5_G6_MARGIN_VIOLATION_0_0004__freeform__CLEAN,tie,tie
G6_MARGIN_VIOLATION,A,paired,part2_churn_prediction_2_G6_MARGIN_VIOLATION_0_0001__freeform,part2_churn_prediction_2_G6_MARGIN_VIOLATION_0_0001__freeform__CLEAN,tie,tie
G6_MARGIN_VIOLATION,A,paired,part2_churn_prediction_3_G6_MARGIN_VIOLATION_0_0002__freeform,part2_churn_prediction_3_G6_MARGIN_VIOLATION_0_0002__freeform__CLEAN,tie,tie
G6_MARGIN_VIOLATION,A,paired,part2_clinical_triage_1_G6_MARGIN_VIOLATION_0_0005__freeform,part2_clinical_triage_1_G6_MARGIN_VIOLATION_0_0005__freeform__CLEAN,tie,tie
G6_MARGIN_VIOLATION,A,paired,part2_clinical_triage_2_G6_MARGIN_VIOLATION_0_0006__freeform,part2_clinical_triage_2_G6_MARGIN_VIOLATION_0_0006__freeform__CLEAN,tie,tie
G6_MARGIN_VIOLATION,A,paired,part2_clinical_triage_3_G6_MARGIN_VIOLATION_0_0007__freeform,part2_clinical_triage_3_G6_MARGIN_VIOLATION_0_0007__freeform__CLEAN,tie,tie
G6_MARGIN_VIOLATION,A,paired,part2_clinical_triage_4_G6_MARGIN_VIOLATION_0_0008__freeform,part2_clinical_triage_4_G6_MARGIN_VIOLATION_0_0008__freeform__CLEAN,tie,tie
G6_MARGIN_VIOLATION,A,paired,part2_clinical_triage_5_G6_MARGIN_VIOLATION_0_0009__freeform,part2_clinical_triage_5_G6_MARGIN_VIOLATION_0_0009__freeform__CLEAN,tie,tie
G6_MARGIN_VIOLATION,A,paired,part2_contract_review_1_G6_MARGIN_VIOLATION_16_0000__freeform,part2_contract_review_1_G6_MARGIN_VIOLATION_16_0000__freeform__CLEAN,tie,tie
G6_MARGIN_VIOLATION,A,paired,part2_contract_review_2_G6_MARGIN_VIOLATION_16_0001__freeform,part2_contract_review_2_G6_MARGIN_VIOLATION_16_0001__freeform__CLEAN,tie,tie
G6_MARGIN_VIOLATION,A,paired,part2_contract_review_3_G6_MARGIN_VIOLATION_16_0002__freeform,part2_contract_review_3_G6_MARGIN_VIOLATION_16_0002__freeform__CLEAN,tie,tie
G6_MARGIN_VIOLATION,A,paired,part2_contract_review_4_G6_MARGIN_VIOLATION_16_0003__freeform,part2_contract_review_4_G6_MARGIN_VIOLATION_16_0003__freeform__CLEAN,tie,tie
G6_MARGIN_VIOLATION,A,paired,part2_contract_review_5_G6_MARGIN_VIOLATION_16_0004__freeform,part2_contract_review_5_G6_MARGIN_VIOLATION_16_0004__freeform__CLEAN,tie,tie
G6_MARGIN_VIOLATION,A,paired,part2_customer_support_ai_1_G6_MARGIN_VIOLATION_16_0005__freeform,part2_customer_support_ai_1_G6_MARGIN_VIOLATION_16_0005__freeform__CLEAN,tie,tie
G6_MARGIN_VIOLATION,A,paired,part2_customer_support_ai_2_G6_MARGIN_VIOLATION_16_0006__freeform,part2_customer_support_ai_2_G6_MARGIN_VIOLATION_16_0006__freeform__CLEAN,tie,tie
G6_MARGIN_VIOLATION,A,paired,part2_customer_support_ai_3_G6_MARGIN_VIOLATION_16_0007__freeform,part2_customer_support_ai_3_G6_MARGIN_VIOLATION_16_0007__freeform__CLEAN,tie,tie
G6_MARGIN_VIOLATION,A,paired,part2_customer_support_ai_4_G6_MARGIN_VIOLATION_16_0008__freeform,part2_customer_support_ai_4_G6_MARGIN_VIOLATION_16_0008__freeform__CLEAN,tie,tie
G6_MARGIN_VIOLATION,A,paired,part2_customer_support_ai_5_G6_MARGIN_VIOLATION_16_0009__freeform,part2_customer_support_ai_5_G6_MARGIN_VIOLATION_16_0009__freeform__CLEAN,tie,tie
G6_MARGIN_VIOLATION,A,paired,part2_doc_search_1_G6_MARGIN_VIOLATION_32_0000__freeform,part2_doc_search_1_G6_MARGIN_VIOLATION_32_0000__freeform__CLEAN,tie,tie
