sample_id,defect,modality,is_clean,failure,has_defect,named_target,predicted_types,locator,confidence,other,raw,stage2_raw,level
part2_logistics_visibility_3_G1_TEXT_OVERFLOW_4_0042__template,G1_TEXT_OVERFLOW,A,False,False,True,False,"[""G3_ALIGNMENT_OFFSET"",""G5_BRAND_COLOR_VIOLATION"",""G7_RENDER_CONTAINMENT_OVERFLOW""]",,,"[{""text"":""placeholder text in main title"",""raw_type"":""OTHER""},{""text"":""lack of narrative flow in bullet points"",""raw_type"":""OTHER""},{""text"":""extreme negative space at bottom"",""raw_type"":""OTHER""},{""text"":""lack of visual aids"",""raw_type"":""OTHER""}]","This slide is in a very early draft state and lacks professional polish. Here are the specific issues:

**1. Content & Text**
*   **Placeholder Text:** The main title contains ""XX,"" which is a placeholder and should be replaced with actual data.
*   **Lack of Hierarchy:** The three bullet points are presented as plain text in boxes; they lack a clear narrative flow or a concluding ""so what"" statem","```json
{
  ""defects"": [
    {
      ""type"": ""OTHER"",
      ""locator"": ""placeholder text in main title""
    },
    {
      ""type"": ""OTHER"",
      ""locator"": ""lack of narrative flow in bullet points""
    },
    {
      ""type"": ""OTHER"",
      ""locator"": ""extreme negative space at bottom""
    },
    {
",page
part2_logistics_visibility_3_G1_TEXT_OVERFLOW_32_0042__template,G1_TEXT_OVERFLOW,A,False,False,True,False,"[""G5_BRAND_COLOR_VIOLATION"",""G6_MARGIN_VIOLATION""]",,,"[{""text"":""placeholder text 'XXX' in title"",""raw_type"":""OTHER""},{""text"":""lack of content hierarchy"",""raw_type"":""OTHER""},{""text"":""extreme negative space at bottom"",""raw_type"":""OTHER""},{""text"":""missing visual aids for technical concepts"",""raw_type"":""OTHER""},{""text"":""dated and unpolished box styling"",""raw_type"":""OTHER""}]","This slide is in a very low-quality, ""draft"" state. Here are the specific issues:

**1. Content & Text**
*   **Placeholder Text:** The title contains ""XXX,"" which is a clear placeholder that should have been replaced with a specific project name or category.
*   **Lack of Hierarchy:** The three bullet points are simply placed in boxes. There is no introductory text, supporting data, or concluding ","```json
{
  ""defects"": [
    {
      ""type"": ""OTHER"",
      ""locator"": ""placeholder text 'XXX' in title""
    },
    {
      ""type"": ""OTHER"",
      ""locator"": ""lack of content hierarchy""
    },
    {
      ""type"": ""OTHER"",
      ""locator"": ""extreme negative space at bottom""
    },
    {
      ""type"":",page
part2_logistics_visibility_4_G1_TEXT_OVERFLOW_32_0043__template,G1_TEXT_OVERFLOW,A,False,False,True,False,"[""G3_ALIGNMENT_OFFSET"",""G5_BRAND_COLOR_VIOLATION"",""G7_RENDER_CONTAINMENT_OVERFLOW"",""S1_TITLE_BODY_MISMATCH""]",,,"[{""text"":""placeholder text in title"",""raw_type"":""OTHER""},{""text"":""dated serif typography"",""raw_type"":""OTHER""}]","This slide is in a very low-quality, ""draft"" state. Here are the specific issues:

**1. Content & Text**
*   **Placeholder Text:** The title contains ""XXX,"" which is a placeholder and should be replaced with actual data.
*   **Lack of Context:** The slide lists three action items but provides no context, data, or explanation of *how* these items impact on-time delivery. It is a list of tasks, not ","```json
{
  ""defects"": [
    {
      ""type"": ""OTHER"",
      ""locator"": ""placeholder text in title""
    },
    {
      ""type"": ""S1_TITLE_BODY_MISMATCH"",
      ""locator"": ""body lacks analysis of impact""
    },
    {
      ""type"": ""G3_ALIGNMENT_OFFSET"",
      ""locator"": ""list items not aligned to grid""",page
part2_logistics_visibility_3_G1_TEXT_OVERFLOW_4_0042__freeform,G1_TEXT_OVERFLOW,A,False,False,True,False,"[""G2_ELEMENT_OVERLAP"",""G3_ALIGNMENT_OFFSET"",""G5_BRAND_COLOR_VIOLATION""]",,,"[{""text"":""placeholder 'XX' in header"",""raw_type"":""OTHER""}]","This slide is in a very low-quality, ""draft"" state and requires a complete overhaul. Here are the specific issues:

**1. Text and Typography**
*   **Header (Top Left):** The title ""ShipEye tracks every leg XX"" contains a placeholder (""XX"") that should have been filled in. Additionally, there is a strange, semi-transparent grey box surrounding the first part of the title, making it look like an unf","```json
{
  ""defects"": [
    {
      ""type"": ""OTHER"",
      ""locator"": ""placeholder 'XX' in header""
    },
    {
      ""type"": ""G2_ELEMENT_OVERLAP"",
      ""locator"": ""grey box surrounding title""
    },
    {
      ""type"": ""G5_BRAND_COLOR_VIOLATION"",
      ""locator"": ""generic serif font""
    },
    {",page
part2_logistics_visibility_3_G1_TEXT_OVERFLOW_32_0042__freeform,G1_TEXT_OVERFLOW,A,False,False,True,False,"[""G3_ALIGNMENT_OFFSET"",""G4_FONT_SIZE_INCONSISTENCY"",""G5_BRAND_COLOR_VIOLATION"",""G6_MARGIN_VIOLATION"",""G7_RENDER_CONTAINMENT_OVERFLOW""]",,,"[{""text"":""placeholder XXX in title"",""raw_type"":""OTHER""}]","This slide is in a very early draft state and is not presentation-ready. Here are the specific issues:

**1. Text and Content Errors**
*   **Header:** The title contains a placeholder (""XXX"") that has not been filled in.
*   **Header:** There is a strange, thin black border box surrounding only the first part of the title (""ShipEye tracks every leg""), while ""XXX"" sits outside of it.

**2. Layout a","```json
{
  ""defects"": [
    {
      ""type"": ""OTHER"",
      ""locator"": ""placeholder XXX in title""
    },
    {
      ""type"": ""G3_ALIGNMENT_OFFSET"",
      ""locator"": ""border box surrounding part of title""
    },
    {
      ""type"": ""G6_MARGIN_VIOLATION"",
      ""locator"": ""content boxes lack margin fr",page
part2_logistics_visibility_4_G1_TEXT_OVERFLOW_32_0043__freeform,G1_TEXT_OVERFLOW,A,False,False,True,False,"[""G3_ALIGNMENT_OFFSET"",""G5_BRAND_COLOR_VIOLATION"",""G6_MARGIN_VIOLATION"",""S1_TITLE_BODY_MISMATCH""]",,,"[{""text"":""placeholder text 'XXX' in title"",""raw_type"":""OTHER""},{""text"":""dated serif font choice"",""raw_type"":""OTHER""}]","This slide is in a very low-quality, ""draft"" state and requires a complete redesign. Here are the specific issues:

**1. Header/Title Area**
*   **Formatting Error:** The title ""XXX ShipEye impact on on-time delivery"" has a strange grey highlight/background box that does not span the full width of the text and looks like an unformatted text selection.
*   **Placeholder Text:** The ""XXX"" at the sta","```json
{
  ""defects"": [
    {
      ""type"": ""G5_BRAND_COLOR_VIOLATION"",
      ""locator"": ""grey highlight box in title""
    },
    {
      ""type"": ""OTHER"",
      ""locator"": ""placeholder text 'XXX' in title""
    },
    {
      ""type"": ""G3_ALIGNMENT_OFFSET"",
      ""locator"": ""content crammed into top-",page
part2_logistics_visibility_4_G1_TEXT_OVERFLOW_4_0043__freeform,G1_TEXT_OVERFLOW,A,False,False,True,False,"[""G3_ALIGNMENT_OFFSET"",""G5_BRAND_COLOR_VIOLATION""]",,,"[{""text"":""placeholder XX in title"",""raw_type"":""OTHER""},{""text"":""excessive dead space in center and bottom"",""raw_type"":""OTHER""},{""text"":""no visual hierarchy between action items"",""raw_type"":""OTHER""}]","This slide is in a very low-quality, draft state. Here are the specific issues:

**1. Text and Formatting Errors**
*   **Header:** The title ""ShipEye impact on on-time delivery XX"" contains a placeholder (""XX"") that should have been replaced with a specific value or date.
*   **Header Background:** There is a strange, off-center light-grey highlight box behind the first half of the title that does","```json
{
  ""defects"": [
    {
      ""type"": ""OTHER"",
      ""locator"": ""placeholder XX in title""
    },
    {
      ""type"": ""G3_ALIGNMENT_OFFSET"",
      ""locator"": ""off-center highlight box behind title""
    },
    {
      ""type"": ""G3_ALIGNMENT_OFFSET"",
      ""locator"": ""content boxes indented from ",page
part2_logistics_visibility_5_G1_TEXT_OVERFLOW_32_0044__template,G1_TEXT_OVERFLOW,A,False,False,True,True,"[""G1_TEXT_OVERFLOW"",""G3_ALIGNMENT_OFFSET"",""G5_BRAND_COLOR_VIOLATION""]","{""element"":""text touching box left edges"",""quote"":""""}",,"[{""text"":""placeholder text in title"",""raw_type"":""OTHER""},{""text"":""lack of content hierarchy"",""raw_type"":""OTHER""},{""text"":""generic styling and weak borders"",""raw_type"":""OTHER""}]","This slide is in a very early draft state and lacks professional polish. Here are the specific issues:

**1. Content & Text**
*   **Placeholder Text:** The title contains ""XXX,"" which is a placeholder and should be replaced with a specific name or version.
*   **Lack of Hierarchy:** The three bullet points are presented as plain text in boxes. There is no supporting data, iconography, or elaborati","```json
{
  ""defects"": [
    {
      ""type"": ""OTHER"",
      ""locator"": ""placeholder text in title""
    },
    {
      ""type"": ""OTHER"",
      ""locator"": ""lack of content hierarchy""
    },
    {
      ""type"": ""G3_ALIGNMENT_OFFSET"",
      ""locator"": ""content boxes shifted to the right""
    },
    {
   ",page
part2_logistics_visibility_5_G1_TEXT_OVERFLOW_32_0044__freeform,G1_TEXT_OVERFLOW,A,False,False,True,False,"[""G2_ELEMENT_OVERLAP"",""G3_ALIGNMENT_OFFSET"",""G5_BRAND_COLOR_VIOLATION""]",,,"[{""text"":""placeholder text 'XXX' in title"",""raw_type"":""OTHER""}]","This slide is in a very early draft state and requires significant professional polish. Here are the specific issues:

**1. Header/Title Area**
*   **Broken Formatting:** The title ""A pragmatic ShipEye plan XXX"" has a strange light-blue rectangular box behind the first half of the text, which looks like a misplaced highlight or a formatting error.
*   **Placeholder Text:** The ""XXX"" at the end of ","```json
{
  ""defects"": [
    {
      ""type"": ""G2_ELEMENT_OVERLAP"",
      ""locator"": ""light-blue box behind title text""
    },
    {
      ""type"": ""OTHER"",
      ""locator"": ""placeholder text 'XXX' in title""
    },
    {
      ""type"": ""G3_ALIGNMENT_OFFSET"",
      ""locator"": ""title margin relative to c",page
part2_logistics_visibility_5_G1_TEXT_OVERFLOW_4_0044__template,G1_TEXT_OVERFLOW,A,False,False,True,False,"[""G3_ALIGNMENT_OFFSET"",""G4_FONT_SIZE_INCONSISTENCY"",""G5_BRAND_COLOR_VIOLATION"",""G7_RENDER_CONTAINMENT_OVERFLOW""]",,,"[{""text"":""placeholder text in title"",""raw_type"":""OTHER""},{""text"":""extreme negative space at bottom"",""raw_type"":""OTHER""}]","This slide is in a very early draft state and lacks professional polish. Here are the specific issues:

**Layout & Spacing**
*   **Extreme Negative Space:** The bottom 60% of the slide is completely empty, making the content look unbalanced and unfinished.
*   **Alignment:** The three content boxes are indented from the left edge of the header box, but the indentation is inconsistent or lacks a cl","```json
{
  ""defects"": [
    {
      ""type"": ""G3_ALIGNMENT_OFFSET"",
      ""locator"": ""content boxes indentation""
    },
    {
      ""type"": ""G7_RENDER_CONTAINMENT_OVERFLOW"",
      ""locator"": ""text touching box borders""
    },
    {
      ""type"": ""OTHER"",
      ""locator"": ""placeholder text in title""
",page
