defect,modality,mode,probe_id,partner_id,pick_order0,pick_order1
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_001,g7_card_height_001__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_006,g7_card_height_006__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_008,g7_card_height_008__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_003,g7_card_height_003__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_002,g7_card_height_002__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_005,g7_card_height_005__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_000,g7_card_height_000__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_004,g7_card_height_004__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_010,g7_card_height_010__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_011,g7_card_height_011__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_009,g7_card_height_009__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_007,g7_card_height_007__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_017,g7_card_height_017__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_012,g7_card_height_012__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_013,g7_card_height_013__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_014,g7_card_height_014__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_018,g7_card_height_018__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_015,g7_card_height_015__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_016,g7_card_height_016__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_019,g7_card_height_019__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_020,g7_card_height_020__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_021,g7_card_height_021__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_022,g7_card_height_022__CLEAN,a,b
G7_RENDER_CONTAINMENT_OVERFLOW,A,paired,g7_card_height_023,g7_card_height_023__CLEAN,a,b
